dataset,total_cov,within_key_cov,between_key_cov,within_fraction,between_fraction,fractions_stable,decomposition_residual
n4q29d43,9.47868749835e-05,7.62501926899e-05,1.85366822935e-05,0.804438301223,0.195561698777,True,-9.48676900925e-20
n4q19d43,0.00106017754734,0.000934910035761,0.000125267511574,0.881842893307,0.118157106693,True,-9.75781955237e-19
n8q29d43,-0.00020412955839,-7.345185942e-05,-0.00013067769897,,,False,1.46367293286e-18
