dataset,key_id,key_mass,delta_k,mean_S_u1,within_key_cov,per_key_auc
n4q29d43,0,268435456,0.00048828125,0.238079202586,-1.20689129007e-05,0.408013251099
n4q29d43,1,268435456,0.00146484375,0.247306034483,5.60365874192e-05,0.663207390994
n4q29d43,2,268435456,0,0.254040948276,0,
n4q29d43,3,268435456,0,0.124932650862,0,
n4q29d43,4,268435456,0,0.250740840517,0,
n4q29d43,5,268435456,9.1552734375e-05,0.251481681034,1.01245682815e-05,0.868220662292
n4q29d43,6,268435456,0,0.254040948276,0,
n4q29d43,7,268435456,0.0009765625,0.252963362069,2.13096881735e-05,0.613519901637
n4q29d43,8,268435456,0.00148868560791,0.251481681034,5.84841031453e-05,0.682382312858
n4q29d43,9,268435456,0.00372314453125,0.248787715517,8.8593055462e-05,0.596193923414
n4q29d43,10,268435456,0.00250244140625,0.2578125,0.00035257997184,0.829282097355
n4q29d43,11,268435456,0.0008544921875,0.255387931034,-2.96625597724e-05,0.351423553539
n4q29d43,12,268435456,0.0102758407593,0.254108297414,0.000505649131434,0.710240360736
n4q29d43,13,268435456,0,0.234509698276,0,
n4q29d43,14,268435456,0.00401926040649,0.258485991379,5.40252518037e-05,0.558700530619
n4q29d43,15,268435456,0.0047607421875,0.236260775862,0.000305866372996,0.740483043445
n4q29d43,16,268435456,0.006103515625,0.252357219828,-0.000301673494536,0.280111842913
n4q29d43,17,268435456,0,0.218278556034,0,
n4q29d43,18,268435456,0.00310134887695,0.254108297414,0.000164042002168,0.785738487677
n4q29d43,19,268435456,0.00764751434326,0.253030711207,-0.000367406562998,0.330275475634
n4q29d43,20,268435456,0.0115356445312,0.256869612069,-0.000120088971894,0.415849166328
n4q29d43,21,268435456,0.0110774040222,0.238348599138,0.000104822571678,0.540018245568
n4q29d43,22,268435456,0.00048828125,0.233566810345,2.59136331492e-05,0.734044867489
n4q29d43,23,268435456,0.00473022460938,0.233028017241,6.46607629184e-06,0.463371133666
n4q29d43,24,268435456,0.0153198242188,0.255455280172,0.000701727538273,0.695629556404
n4q29d43,25,268435456,0.000732421875,0.249797952586,2.43515803896e-05,0.582398047479
n4q29d43,26,268435456,0.00115966796875,0.251818426724,2.06478710832e-05,0.512674272758
n4q29d43,27,268435456,0.00154972076416,0.253300107759,-3.78104761757e-05,0.398498236968
n4q29d43,28,268435456,0.00349426269531,0.229795258621,7.69475410725e-05,0.609763072002
n4q29d43,29,268435456,0.0104019641876,0.242928340517,-0.000141558124973,0.490405396637
n4q29d43,30,268435456,0.00869750976562,0.252828663793,-0.000196000625347,0.393353338399
n4q29d43,31,268435456,0.00252723693848,0.25619612069,5.52416875445e-05,0.573915612703
n4q29d43,32,268435456,0,0.25619612069,0,
n4q29d43,33,268435456,0.0003662109375,0.185816271552,4.48144715408e-05,0.967807424594
n4q29d43,34,268435456,0.0075569152832,0.252693965517,-0.000412482639839,0.255703060255
n4q29d43,35,268435456,0,0.253098060345,0,
n4q29d43,36,268435456,0,0.249932650862,0,
n4q29d43,37,268435456,0.00530815124512,0.251279633621,4.32260848325e-05,0.473388741393
n4q29d43,38,268435456,0.00390625,0.221848060345,0.000132067450162,0.584639964384
n4q29d43,39,268435456,0.0040283203125,0.249528556034,8.47701368661e-05,0.534191653017
n4q29d43,40,268435456,0,0.25228987069,0,
n4q29d43,41,268435456,0,0.216190732759,0,
n4q29d43,42,268435456,0.000732421875,0.251953125,1.27759473077e-05,0.674409815539
n4q29d43,43,268435456,0,0.254175646552,0,
n4q29d43,44,268435456,0.0188207626343,0.253434806034,0.000160700994833,0.46929765477
n4q29d43,45,268435456,0.0144414901733,0.254377693966,-3.24562063505e-05,0.479068737385
n4q29d43,46,268435456,0,0.252828663793,0,
n4q29d43,47,268435456,0.0191621780396,0.254175646552,-0.000170054492252,0.447623868956
n4q29d43,48,268435456,0.0138702392578,0.240369073276,0.000504135057844,0.647656868833
n4q29d43,49,268435456,0.0018310546875,0.189183728448,0.000173182323061,0.868536558334
n4q29d43,50,268435456,0.00946044921875,0.252626616379,4.40293344958e-05,0.523994345546
n4q29d43,51,268435456,0.00146484375,0.250134698276,0.00016922786318,0.960645247555
n4q29d43,52,268435456,0.001953125,0.231142241379,0.000150483230065,0.824526911846
n4q29d43,53,268435456,0,0.235519935345,0,
n4q29d43,54,268435456,0.0041766166687,0.25552262931,-0.000307174527953,0.332917537352
n4q29d43,55,268435456,0.0177154541016,0.256600215517,0.000653511491315,0.715027620983
n4q29d43,56,268435456,0.0335159301758,0.242726293103,0.000475490915364,0.558764861592
n4q29d43,57,268435456,0.00836420059204,0.151872306034,0.000187355543262,0.608218090929
n4q29d43,58,268435456,0.00304746627808,0.227909482759,0.000159657977778,0.679106860099
n4q29d43,59,268435456,0.0003662109375,0.249932650862,2.00189393142e-05,0.850462510685
n4q29d43,60,268435456,0.00408935546875,0.248046875,-2.20742718927e-06,0.504522341409
n4q29d43,61,268435456,0.0001220703125,0.254781788793,4.67793694858e-06,0.702154041021
n4q29d43,62,268435456,0.0245332717896,0.246497844828,0.000472922006558,0.61674866542
n4q29d43,63,268435456,0,0.231209590517,0,
n4q29d43,64,268435456,0.00928544998169,0.254310344828,8.98570849978e-05,0.511908379181
n4q29d43,65,268435456,0.00159454345703,0.241648706897,8.14220000958e-05,0.65990710472
n4q29d43,66,268435456,0.00747680664062,0.250134698276,-9.91369115895e-05,0.377776167196
n4q29d43,67,268435456,0.0154004096985,0.252693965517,0.000150434672832,0.536298072231
n4q29d43,68,268435456,0.00173950195312,0.246295797414,-1.40769728299e-05,0.383332341125
n4q29d43,69,268435456,0.00311279296875,0.254040948276,-2.14576721191e-05,0.403421348335
n4q29d43,70,268435456,0,0.252424568966,0,
n4q29d43,71,268435456,0,0.258553340517,0,
n4q29d43,72,268435456,0.00945281982422,0.254781788793,0.000145105966206,0.574193926168
n4q29d43,73,268435456,0.00146484375,0.24057112069,-9.98398353314e-05,0.138497096577
