dataset,outcome,slope,linear_R2,quadratic_R2,quadratic_improvement
n4q29d43,local_failure_probability,0.00197545734555,0.569489675393,0.773300456702,0.203810781309
n4q29d43,mean_coordinate_margin,-0.240219739426,0.263247099584,0.352044706671,0.088797607087
n4q19d43,local_failure_probability,0.0143848068946,0.613701589301,0.6236590314,0.00995744209814
n4q19d43,mean_coordinate_margin,-0.408767991006,0.548525505206,0.732245708103,0.183720202897
n8q29d43,local_failure_probability,-0.00218365570503,0.0506412295703,0.332520355847,0.281879126277
n8q29d43,mean_coordinate_margin,0.143956387006,0.354417858308,0.62593215657,0.271514298262
