rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,17.-76.-67.-69,1,128,1285681408,434181523,7.0,1.5661629498187517
2,-60.47.129.1,1,64,1264669056,434181523,6.0,1.5423896665699328
3,7.39.-4.-60,3,128,3729502976,1302544569,5.415037499278844,1.5176506401179717
4,-48.18.-54.105,1,32,1225096448,434181523,5.0,1.4965250954156373
5,-26.29.4.44,5,128,5972961664,2170907615,4.678071905112637,1.4601481301972383
6,-54.4.11.-36,3,64,1174216896,434181523,4.415037499278844,1.4353286839861714
7,42.-61.20.74,7,128,8083896448,3039270661,4.192645077942396,1.4113256822013305
8,-76.-88.-52.-4,1,16,1140204528,434181523,4.0,1.3929223987126917
9,-11.-46.35.-83,9,128,10116723584,3907633707,3.830074998557688,1.3723749887843024
10,70.37.73.126,5,64,1109264704,434181523,3.678071905112638,1.3532334399754473
11,25.72.-2.-56,11,128,12064632704,4775996753,3.5405683813627027,1.3369102338880954
12,97.57.-43.6,3,32,1085526560,434181523,3.415037499278844,1.3220247882269915
13,-89.2.81.2,13,128,13982545280,5644359799,3.299560281858908,1.3087451418522016
14,14.-27.-44.-27,7,64,7460695744,3039270661,3.192645077942396,1.2955850154693707
15,-17.67.27.-66,15,128,5284292224,2170907615,3.0931094043914813,1.283411918522103
16,-27.-42.33.93,1,8,1048659800,434181523,3.0,1.2721764861001872
17,-1.16.87.93,17,128,17703953792,7381085891,2.9125371587496605,1.2621666072661117
18,-46.-85.-34.29,9,64,9288443840,3907633707,2.830074998557688,1.2491416731655045
19,-60.-52.28.76,19,128,1020725632,434181523,2.7520724865564143,1.2332248890709057
20,21.35.11.29,5,32,5049249184,2170907615,2.678071905112638,1.217770545136063
21,-47.126.22.-126,21,128,20991839168,9117811983,2.6076825772212398,1.203069006665812
22,-71.-81.77.75,11,64,10891135072,4775996753,2.5405683813627027,1.1892805584020258
23,73.49.109.7,23,128,22569017280,9986175029,2.476438043942987,1.1763395024935228
24,-52.42.55.-48,3,16,2916844088,1302544569,2.415037499278844,1.163075535082341
25,145.166.158.131,25,128,24093279424,10854538075,2.356143810225275,1.1503324453924204
26,-18.-39.71.-18,13,64,12424519776,5644359799,2.299560281858908,1.1383082304163028
27,-61.69.2.-50,27,128,25595351488,11722901121,2.2451124978365313,1.126552173851741
28,107.44.76.141,7,32,6583883120,3039270661,2.192645077942396,1.1152135654320645
29,-47.77.-22.22,29,128,27054877376,12591264167,2.1420190048724277,1.1034655650608372
30,-38.73.-74.79,15,64,13885258592,6512722845,2.0931094043914813,1.0922213075672385
31,126.-60.54.-105,31,128,28452331200,13459627213,2.0458036896131246,1.0799084098380856
32,-50.63.41.-106,1,4,910435910,434181523,2.0,1.0682591304492277
33,-31.11.37.-16,33,128,29771740352,14327990259,1.9556058806415466,1.0551072973473106
34,23.19.12.36,17,64,15199067488,7381085891,1.9125371587496607,1.0420778288714816
35,-74.-72.-88.-90,35,128,31023900352,15196353305,1.8707169830550336,1.029654915468552
36,-55.29.84.-1,9,32,879084656,434181523,1.8300749985576876,1.0177037718081683
37,-72.-6.48.-54,37,128,32261734336,16064716351,1.7905466343710503,1.0059284895319678
38,-30.-27.46.-29,19,64,16436778976,8249448937,1.7520724865564146,0.9945579541137879
39,18.74.81.25,39,128,33467514304,16933079397,1.7145977811377517,0.9829170421835035
40,0.-25.24.-13,5,16,4255640312,2170907615,1.6780719051126376,0.9710778869475912
41,-66.33.-44.49,41,128,34612312256,17801442443,1.6424479953819162,0.9592911762827393
42,3.-36.15.-81,21,64,17581832032,9117811983,1.6076825772212398,0.9473258425267024
43,-9.67.-70.34,43,128,35701998272,18669805489,1.573735245297902,0.9352979284621102
44,-37.91.62.38,11,32,9058918576,4775996753,1.5405683813627027,0.9235369805711918
45,-4.-8.64.-52,45,128,36741958336,19538168535,1.5081469036703252,0.9111332851565314
46,-25.52.-25.19,23,64,18620046944,9986175029,1.4764380439429872,0.8988526118496939
47,-15.-8.-50.-18,47,128,37711081152,20406531581,1.4454111483223626,0.8859575182663582
48,-9.1.62.-46,3,8,2385349868,1302544569,1.415037499278844,0.8728681492563672
49,-3.-19.3.19,49,128,5517134656,3039270661,1.3852901558847919,0.8601940333786112
50,81.32.-76.-52,25,64,19535041888,10854538075,1.3561438102252754,0.8477660169975112
51,-52.132.-47.22,51,128,13172471104,7381085891,1.3275746580285044,0.8356210314231753
52,66.-40.13.69,13,32,9989847008,5644359799,1.2995602818589078,0.823652628395407
53,-5.67.26.-33,53,128,40396578688,23011620719,1.2720795454368008,0.8118705150032505
54,76.9.-107.-22,27,64,20413445312,11722901121,1.2451124978365316,0.8001900516782716
55,-69.49.-19.-11,55,128,41254992256,23879983765,1.2186402864753405,0.7887668543028528
56,17.15.7.-9,7,16,744304016,434181523,1.1926450779423958,0.777593688217084
57,-4.0.6.-10,57,128,14032447104,8249448937,1.1671099858352583,0.7663969653060492
58,0.32.24.-8,29,64,21254400448,12591264167,1.142019004872428,0.7553384260969278
59,-59.89.-49.34,59,128,42911082880,25616709857,1.1173569506381587,0.7442651169755473
60,32.74.21.71,15,32,3609100128,2170907615,1.0931094043914815,0.7333408367475223
61,-48.-44.-38.-32,61,128,43699931264,26485072903,1.0692626624371138,0.7224515306867533
62,-62.22.-65.49,31,64,22039322688,13459627213,1.0458036896131249,0.7114414350793877
63,-71.-64.74.51,63,128,44455276672,27353435949,1.0227200765000835,0.7006326058741147
64,-80.61.-55.164,1,2,700311194,434181523,1.0,0.6896978161396401
65,-11.71.-7.-68,65,128,45183487616,28221798995,0.9776321869715455,0.678985678269984
66,11.11.11.11,33,64,22772098880,14327990259,0.9556058806415466,0.6684310076528995
67,58.-60.-116.58,67,128,45895260544,29090162041,0.9339108095422276,0.6578138461442359
68,-15.116.-6.58,17,32,11560557920,7381085891,0.9125371587496606,0.6473060414133693
69,-47.-64.53.67,69,128,46585115008,29958525087,0.891475543221831,0.6369024559673987
70,-42.31.-45.-34,35,64,23460247744,15196353305,0.8707169830550335,0.6264930893437112
71,35.59.-2.22,71,128,47249378176,30826888133,0.8502528804953179,0.6161060811593853
72,-83.20.-52.34,9,16,5947064432,3907633707,0.8300749985576876,0.6058824677415231
73,-4.-28.-40.68,73,128,47895078272,31695251179,0.8101754411199827,0.5956107102089218
74,8.-14.-7.-1,37,64,24102630080,16064716351,0.7905466343710502,0.5852950741086809
75,-102.34.-30.74,75,128,48508120448,32563614225,0.7711813095041191,0.574965447530879
76,134.-1.136.16,19,32,12200541024,8249448937,0.7520724865564145,0.5645754687609121
77,-30.-12.4.5,77,128,49091268992,33431977271,0.7332134593050986,0.5542377773988629
78,5.-13.-9.9,39,64,8229697600,5644359799,0.7145977811377516,0.5440294645543743
79,-73.72.4.-57,79,128,49665060736,34300340317,0.6962192518228971,0.5340083853186524
80,128.9.-84.-4,5,8,3121987096,2170907615,0.6780719051126377,0.5241662422619937
81,-17.-23.-29.19,81,128,50237628800,35168703363,0.6601499971153753,0.5144762259572114
82,88.92.46.26,41,64,25246016064,17801442443,0.6424479953819163,0.5040615951271049
83,104.13.36.-125,83,128,50745296000,36037066409,0.6249605686530753,0.4937925195967763
84,13.-87.28.53,21,32,12748864160,9117811983,0.6076825772212398,0.4836091531348299
85,77.4.-59.-52,85,128,10248574080,7381085891,0.5906090638622983,0.47351821297948166
86,26.19.42.69,43,64,25744575296,18669805489,0.5737352452979021,0.4635615734776359
87,93.63.58.58,87,128,51715643008,37773792501,0.5570565041512717,0.4532150965320954
88,20.-43.-25.57,11,16,6491994704,4775996753,0.5405683813627028,0.44285996719820303
89,15.17.-49.5,89,128,52146655872,38642155547,0.5242665690336022,0.43239916348640955
90,43.-12.51.-44,45,64,26172936512,19538168535,0.5081469036703253,0.42178056022805444
91,100.88.92.72,91,128,52542256768,39510518593,0.49220535980130375,0.411241385248831
92,-112.96.-102.106,23,32,13184129440,9986175029,0.4764380439429871,0.4007982135806027
93,-96.10.-17.67,93,128,17641383808,13459627213,0.4608411888919686,0.39032527915582826
94,49.-93.-49.93,47,64,26555216704,20406531581,0.4454111483223626,0.37996430867188463
95,-16.7.-56.121,95,128,53295219328,41247244685,0.43014439166905216,0.3697083760030738
96,111.81.-119.-29,3,4,1671009812,1302544569,0.4150374992788438,0.35938746692378715
97,20.-104.10.134,97,128,53643475584,42115607731,0.4000871578128723,0.34904772866905476
98,-109.46.28.25,49,64,26895717696,21274894627,0.38529015588479176,0.33822450052213904
99,-74.-1.61.14,99,128,17979494272,14327990259,0.37064337992039037,0.32751617962500207
100,-95.-117.-141.-95,25,32,13518830688,10854538075,0.3561438102252753,0.3166720390047464
101,-5.-4.-11.-1,101,128,54209540480,43852333823,0.34178851724820525,0.30589315262723404
102,21.19.24.20,51,64,9056593984,7381085891,0.3275746580285044,0.2951355031991092
103,3.-6.11.-16,103,128,54469587328,44720696869,0.31349947281678164,0.2845082676527801
104,104.-14.-49.-41,13,16,6821805616,5644359799,0.2995602818589078,0.273343691371529
105,-6.-90.-58.-70,105,128,7810675328,6512722845,0.28575448233387735,0.26218645956909303
106,-73.-71.-67.-109,53,64,27386350784,23011620719,0.2720795454368008,0.2510944437250109
107,25.37.-10.-10,107,128,54863829376,46457422961,0.25853301359885306,0.23994619402591763
108,75.-63.82.-79,27,32,13736881760,11722901121,0.24511249783653147,0.22872490850918692
109,17.9.-69.-204,109,128,55030626688,47325786007,0.23181567522307364,0.21760829112415403
110,-13.-2.-30.-46,55,64,5511359936,4775996753,0.2186402864753404,0.20660649402732767
111,-32.62.-69.24,111,128,55188318592,48194149053,0.20558413364989403,0.1955049233878588
112,67.-45.31.-53,7,8,493389480,434181523,0.19264507794239588,0.18442862294472306
113,5.26.-9.4,113,128,55317555584,49062512099,0.1798210375848123,0.17311630227902486
114,10.-77.-1.35,57,64,1457049664,1302544569,0.16710998583525832,0.1617173150996058
115,-46.70.-15.-126,115,128,55415073152,49930875145,0.1545099490556248,0.15034625607367133
116,24.-29.-27.17,29,32,13865540192,12591264167,0.14201900487242788,0.1390806865101828
117,136.71.38.7,117,128,55502621056,50799238191,0.12963528041659547,0.12774904107397952
118,84.108.66.27,59,64,27770184896,25616709857,0.11735695063815874,0.11645159114953439
119,29.-10.-20.46,119,128,55558457728,51667601237,0.10518223669205648,0.10474664590181021
120,-8.99.-28.9,15,16,16,15,0.09310940439148147,0.09310940439148145
121,-3.-6.1.2,121,128,128,121,0.08113676272540549,0.08113676272540553
122,-3.2.3.-2,61,64,64,61,0.06926266243711372,0.06926266243711379
123,-40.-59.40.50,123,128,128,123,0.057485494660760125,0.05748549466076028
124,10.-3.-10.3,31,32,32,31,0.04580368961312479,0.045803689613124754
125,15.-4.15.-4,125,128,128,125,0.034215715337912955,0.03421571533791298
126,201.27.-153.15,63,64,64,63,0.02272007650008353,0.02272007650008345
127,5.-9.-5.9,127,128,128,127,0.011315313227834146,0.011315313227834127
128,8.1.-6.1,1,1,1,1,-0.0,0.0
