rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,1:-5:1;2:-9:1;2:-8:1;8:7:1;,1,128,1285681408,434181523,7.0,1.5661629498187517
2,-7:8:1;2:7:1;6:1:1;8:-3:1;,1,64,1264669056,434181523,6.0,1.5423896665699328
3,-9:2:1;-5:-1:1;2:-2:1;6:4:1;,3,128,3729502976,1302544569,5.415037499278844,1.5176506401179717
4,-7:-3:1;-4:9:1;-1:-2:1;5:-7:1;,1,32,1225096448,434181523,5.0,1.4965250954156373
5,-4:4:1;-4:7:1;3:6:1;8:0:1;,5,128,5972961664,2170907615,4.678071905112637,1.4601481301972383
6,-9:8:1;-4:-5:1;-1:-3:1;-1:5:1;,3,64,1174216896,434181523,4.415037499278844,1.4353286839861714
7,-8:-1:1;-7:-9:1;1:-2:1;9:-3:1;,7,128,8083896448,3039270661,4.192645077942396,1.4113256822013305
8,-7:8:1;-3:8:1;-1:-4:1;0:8:1;,1,16,1140204528,434181523,4.0,1.3929223987126917
9,-7:-4:1;2:-8:1;5:1:1;7:-4:1;,9,128,10116723584,3907633707,3.830074998557688,1.3723749887843024
10,-9:-6:1;-8:-3:1;-2:0:1;1:-8:1;,5,64,1109264704,434181523,3.678071905112638,1.3532334399754473
11,-4:2:1;2:-4:1;7:-1:1;8:6:1;,11,128,12064632704,4775996753,3.5405683813627027,1.3369102338880954
12,-1:-2:2;6:8:1;9:5:1;,3,32,1085526560,434181523,3.415037499278844,1.3220247882269915
13,-8:4:1;-7:3:1;4:-2:1;7:-4:1;,13,128,13982545280,5644359799,3.299560281858908,1.3087451418522016
14,-7:0:1;-6:0:1;-3:2:1;4:5:1;,7,64,7460695744,3039270661,3.192645077942396,1.2955850154693707
15,-8:5:1;-6:-1:1;-2:-6:1;5:1:1;,15,128,5284292224,2170907615,3.0931094043914813,1.283411918522103
16,-9:8:1;-7:-2:1;-5:-7:1;2:-2:1;,1,8,1048659800,434181523,3.0,1.2721764861001872
17,-8:8:1;3:0:1;9:0:1;9:7:1;,17,128,17703953792,7381085891,2.9125371587496605,1.2621666072661117
18,-7:9:1;-6:2:1;-1:1:1;6:5:1;,9,64,9288443840,3907633707,2.830074998557688,1.2491416731655045
19,-8:3:1;2:-3:1;3:5:1;5:-9:1;,19,128,1020725632,434181523,2.7520724865564143,1.2332248890709057
20,-4:6:1;-2:7:1;1:5:1;9:6:1;,5,32,5049249184,2170907615,2.678071905112638,1.217770545136063
21,-9:1:1;-3:9:1;3:-9:1;4:4:1;,21,128,20991839168,9117811983,2.6076825772212398,1.203069006665812
22,-9:9:1;1:-2:1;3:-6:1;5:6:1;,11,64,10891135072,4775996753,2.5405683813627027,1.1892805584020258
23,1:3:1;3:9:1;4:-5:1;9:7:1;,23,128,22569017280,9986175029,2.476438043942987,1.1763395024935228
24,-6:0:1;-1:6:1;2:-2:1;6:-7:1;,3,16,2916844088,1302544569,2.415037499278844,1.163075535082341
25,-8:-9:1;-8:-3:1;-5:-5:1;-3:-8:1;,25,128,24093279424,10854538075,2.356143810225275,1.1503324453924204
26,-9:3:1;-4:-5:1;1:5:1;8:-2:1;,13,64,12424519776,5644359799,2.299560281858908,1.1383082304163028
