feature_id,feature_value,Nz,Ez
pk,"A=0.14.2.17|t=1.14.16.1",268435456,13313520
pk,"A=0.14.2.7|t=14.4.17.3",268435456,14198272
pk,"A=0.17.4.10|t=9.2.12.14",268435456,7817520
pk,"A=0.18.12.16|t=8.15.8.8",268435456,32429368
pk,"A=0.2.16.7|t=7.1.16.2",268435456,2847744
pk,"A=1.10.3.2|t=15.4.10.4",268435456,12571312
pk,"A=1.13.16.2|t=0.0.1.0",268435456,0
pk,"A=1.13.18.7|t=15.6.7.0",268435456,10715104
pk,"A=1.3.4.9|t=3.9.14.7",268435456,24585848
pk,"A=1.3.9.5|t=4.16.7.6",268435456,7950104
pk,"A=1.4.13.2|t=14.1.5.0",268435456,19930976
pk,"A=1.6.7.5|t=2.14.9.0",268435456,10277584
pk,"A=1.8.11.10|t=1.17.8.17",268435456,23322248
pk,"A=1.9.10.6|t=1.0.18.0",268435456,0
pk,"A=10.0.4.15|t=4.18.5.10",268435456,6884832
pk,"A=10.11.17.1|t=13.16.0.11",268435456,30497608
pk,"A=10.16.18.13|t=6.14.11.4",268435456,19473352
pk,"A=10.18.18.0|t=1.11.8.16",268435456,16822944
pk,"A=10.6.15.12|t=2.8.2.4",268435456,3133824
pk,"A=10.8.12.7|t=9.4.16.4",268435456,18050256
pk,"A=11.0.18.17|t=18.18.18.18",268435456,11272192
pk,"A=11.11.16.14|t=16.10.11.14",268435456,23703960
pk,"A=11.15.12.18|t=9.4.16.6",268435456,3061696
pk,"A=11.5.1.7|t=9.17.13.16",268435456,4623744
pk,"A=11.6.14.3|t=17.17.3.10",268435456,22363744
pk,"A=12.10.17.6|t=7.10.2.13",268435456,524288
pk,"A=12.18.15.5|t=16.17.9.12",268435456,36590088
pk,"A=12.2.1.2|t=11.16.10.1",268435456,6225536
pk,"A=12.3.11.1|t=18.0.18.0",268435456,0
pk,"A=12.6.18.13|t=9.5.1.2",268435456,27279184
pk,"A=13.11.2.2|t=10.4.6.12",268435456,5348800
pk,"A=13.15.9.13|t=11.17.6.16",268435456,8960400
pk,"A=13.17.5.11|t=18.13.1.5",268435456,29108912
pk,"A=13.2.11.0|t=10.1.7.16",268435456,12858112
pk,"A=13.2.3.16|t=0.1.0.18",268435456,0
pk,"A=13.2.5.17|t=6.9.10.4",268435456,11769728
pk,"A=13.9.1.17|t=14.13.11.18",268435456,19119488
pk,"A=14.1.17.6|t=14.0.16.6",268435456,2228224
pk,"A=14.11.11.8|t=3.0.2.2",268435456,14718352
pk,"A=14.16.0.11|t=14.15.18.12",268435456,7077888
pk,"A=14.18.1.16|t=2.0.3.15",268435456,8966144
pk,"A=14.2.18.12|t=17.11.6.18",268435456,13662208
pk,"A=14.3.14.7|t=3.9.11.11",268435456,15821376
pk,"A=14.5.5.4|t=4.5.14.14",268435456,0
