rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
2920,4.19.-2.-5,1003,11552,1319067286,471396961,3.52574913627499,1.484503795783474
2921,-23.-52.-5.29,2007,23104,2639191580,943263909,3.525030125524554,1.4843627065699105
2922,-23.-57.5.14,251,2888,660062147,235933474,3.524311472936399,1.4842217441048102
2923,-27.-68.-9.43,4017,46208,5281554184,1887937779,3.5239522808417045,1.4841513103493613
2924,-27.-77.9.16,2009,23104,2641305596,944203883,3.523593178153879,1.4840809082167796
2925,-5.-37.-5.26,4019,46208,5283668200,1888877753,3.5232341648284256,1.4840105376856902
2926,-5.-42.5.11,1005,11552,188740186,67476705,3.52287524082088,1.483940198734736
2927,-9.-31.27.-34,4021,46208,5285782216,1889817727,3.5225164060868104,1.4838698913425798
2928,-9.-4.-27.47,2011,23104,2643419612,945143857,3.522157660581819,1.4837996154879047
2929,23.52.5.-29,503,5776,661119155,236403461,3.521440437081644,1.4836591583058212
2930,23.57.-5.-14,2013,23104,2645533628,946083831,3.5207235699658312,1.4835188270183277
2931,27.68.9.-43,4027,46208,756017752,270376807,3.5203652699414167,1.4834487085319625
2932,27.77.-9.-16,53,608,69647122,24909311,3.5200070588803865,1.4833786214555749
2933,5.37.5.-26,4029,46208,5294238280,1893577623,3.5196489367385726,1.4833085657679819
2934,5.42.-5.-11,2015,23104,2647647644,947023805,3.519290903471841,1.4832385414480191
2935,9.31.-27.34,4031,46208,5296352296,1894517597,3.5189329590360914,1.4831685484745416
2936,9.4.27.-47,63,722,662176163,236873448,3.5185751033872545,1.4830985868264233
2937,-17.-40.-7.28,4035,46208,252408312,90304645,3.5175020687220284,1.4828873175291404
2938,-17.-47.7.7,2019,23104,2651869900,948903753,3.5164298315556977,1.4826763312795253
2939,17.40.7.-28,4041,46208,5306905048,1899217467,3.5153583907037116,1.4824656275068882
2940,17.47.-7.-7,1011,11552,442505858,158385619,3.514287744984156,1.4822552056420781
2941,-22.-55.-4.29,8091,92416,10623302230,3802664817,3.5137527199304115,1.4821496099925575
2942,-22.-59.4.17,213,2432,279643786,100107231,3.5132178932177474,1.4820440848991496
2943,22.55.4.-29,8097,92416,3543208502,1268494913,3.512683264699163,1.4819386302908808
2944,22.59.-4.-17,2025,23104,379742398,135960525,3.5121488342278213,1.4818332460968726
2945,-15.-41.-11.36,8105,92416,10638051968,3809244635,3.511258556482267,1.4816571419286808
2946,-15.-52.11.3,4055,46208,5321658396,1905797285,3.5103688277825356,1.4814812334457377
2947,15.41.11.-36,8115,92416,10648581616,3813944505,3.5094796474518373,1.4813055203207537
2948,15.52.-11.-3,1015,11552,266346161,95407361,3.508591014814632,1.4811300022271712
2949,-8.-1.-14.23,2031,23104,888171188,318181199,3.5078805025910182,1.480989180660589
2950,-8.-15.14.-19,127,1444,190397537,68215256,3.507170340115005,1.480848483971256
2951,8.1.14.-23,107,1216,140348288,50288609,3.5064605270424387,1.48070791199247
2952,8.15.-14.19,1017,11552,148203857,53108531,3.505751063029671,1.4805674645578268
2953,-10.-22.-14.33,2035,23104,2668720658,956423545,3.5050419477335617,1.4804267511922242
2954,-10.-36.14.-9,509,5776,1334885945,478446766,3.5043331808114755,1.480286162346324
2955,-14.-14.-10.21,2037,23104,890274374,319121173,3.503624761921283,1.480145697854247
2956,-14.-24.10.-9,1019,11552,1335937177,478916753,3.5029166907213574,1.480005357550412
2957,-15.-36.-5.23,255,2888,26215459,9399740,3.501501590028313,1.4797250488466112
2958,-15.-41.5.8,1021,11552,1338039641,479856727,3.5000878760093697,1.479445234916151
2959,-16.-21.-6.17,215,2432,281747884,101047205,3.499734663854125,1.4793753585877738
2960,-16.-27.6.-1,2043,23104,297458946,106687049,3.4993815381539437,1.4793055130800907
2961,-9.-19.19.-26,4087,46208,5355312260,1920836869,3.499028498866512,1.4792356983726327
2962,-9.0.-19.31,511,5776,1339090873,480326714,3.4986755459495495,1.4791659144449496
2963,10.22.14.-33,2045,23104,2679232978,961123415,3.49796989905806,1.4790264388471974
2964,10.36.-14.9,1023,11552,446714035,160265567,3.4972645971418426,1.4788870861235932
