rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1542,-9:3:1;-6:-3:1;,1149,23104,677706744,180005021,4.329691944241057,1.9126239789100261
1543,-9:3:1;6:3:1;,575,11552,1017266232,270242525,4.328436881055434,1.9123706827567004
1544,6:3:1;9:-3:1;,1151,23104,2035944696,540955037,4.32718290875494,1.912117782372176
1545,6:3:1;9:3:1;,18,361,1768539,469987,4.325930025444858,1.911865276825732
1546,-6:-2:1;9:3:1;,2305,46208,4076120312,1083320035,4.325303991570471,1.9117371274806438
1547,-9:-3:1;-6:-2:1;,1153,23104,291251912,77413573,4.324678229235399,1.9116090779105828
1548,-9:-3:1;6:2:1;,2307,46208,1359644408,361420003,4.3240527382041885,1.9114811279985655
1549,6:2:1;9:3:1;,577,11552,1020084920,271182499,4.323427518241688,1.9113532776277928
1550,-2:5:1;8:-8:1;,2309,46208,4081743248,1085199983,4.322802569113056,1.911224505916364
1551,-4:-3:1;7:9:1;,2311,46208,4084550384,1086139957,4.32155348241954,1.9109672624085852
1552,-7:-9:1;-4:-3:1;,2313,46208,4087357520,1087079931,4.32030547625098,1.910710418008653
1553,-7:-9:1;4:3:1;,2315,46208,4090164656,1088019905,4.319058548739572,1.9104539717844151
1554,-8:8:1;-2:5:1;,579,11552,1022892056,272122473,4.318435488897935,1.9103258976976811
1555,-8:8:1;2:-5:1;,2317,46208,584710256,155565697,4.317812698022349,1.9101979228066333
1556,2:-5:1;8:-8:1;,61,1216,107746720,28669207,4.317190175880699,1.9100700469955698
1557,4:3:1;7:9:1;,145,2888,256073906,68148115,4.315945936872237,1.9098145921514926
1558,-4:-9:1;7:-3:1;,1161,23104,2049994094,545654907,4.314702770021604,1.9095590241319136
1559,-7:3:1;-4:-9:1;,581,11552,1025698470,273062447,4.313460673482642,1.9093038508243523
1560,-7:3:1;4:9:1;,1163,23104,2052799786,546594881,4.312219645413952,1.9090490713111123
1561,4:9:1;7:-3:1;,291,5776,513550658,136766217,4.310979683978887,1.9087946846773527
1562,-4:-9:1;5:2:1;,1165,23104,293656894,78219265,4.309740787345528,1.9085356227563914
1563,-5:-2:1;-4:-9:1;,583,11552,93499722,24909311,4.308502953686674,1.9082769587875557
1564,-5:-2:1;4:9:1;,1167,23104,2058389510,548474829,4.3072661811798225,1.908018691850444
1565,4:9:1;5:2:1;,73,1444,128736571,34309051,4.306030468007154,1.9077608210275028
1566,-3:-3:1;6:-8:1;,1169,23104,2061180040,549414803,4.304795812355515,1.907502840049988
1567,-3:3:1;6:8:1;,585,11552,1031287472,274942395,4.303562212416404,1.907245254043751
1568,-6:-8:1;-3:3:1;,1171,23104,2063969848,550354777,4.302329666385956,1.9069880620983317
1569,-6:-8:1;3:-3:1;,293,5776,516341188,137706191,4.301098172464923,1.9067312633060798
1570,-6:8:1;-3:-3:1;,1173,23104,2066759656,551294751,4.299867728858662,1.9064748567621415
1571,-6:8:1;3:3:1;,587,11552,1034077280,275882369,4.298638333777118,1.906218841564451
1572,3:-3:1;6:8:1;,1175,23104,2069549464,552234725,4.297409985434809,1.9059632168137177
1573,3:3:1;6:-8:1;,147,2888,258868046,69088089,4.296182682050807,1.9057079816134175
1574,-4:9:1;7:3:1;,1177,23104,2072336384,553174699,4.294956421848727,1.9054511245369308
1575,-7:-3:1;-4:9:1;,31,608,54571800,14569597,4.29373120305671,1.9051946579280676
1576,-7:-3:1;4:-9:1;,1179,23104,2075120416,554114673,4.292507023907408,1.9049385808930925
1577,4:-9:1;7:3:1;,295,5776,519128108,138646165,4.291283882637967,1.904682892541008
1578,-4:3:1;7:-9:1;,1181,23104,2077903726,555054647,4.290061777490013,1.9044270906967775
1579,-7:9:1;-4:3:1;,591,11552,346549170,92587439,4.288840706709639,1.9041716764326269
1580,-7:9:1;4:-3:1;,1183,23104,42462986,11346829,4.287620668547382,1.903916648864362
1581,4:-3:1;7:-9:1;,37,722,260259701,69558076,4.286401661258221,1.903662007110488
1582,-1:-8:1;9:-8:1;,1185,23104,416693636,111386919,4.2851836831015495,1.9034072503442527
1583,-1:-8:1;9:8:1;,593,11552,1042429376,278702291,4.283966732341168,1.9031528783045661
1584,-9:-8:1;-1:-8:1;,1187,23104,2086249324,557874569,4.2827508072452645,1.9028988901166357
1585,-9:-8:1;1:8:1;,297,5776,521909974,139586139,4.281535906086405,1.9026452849083308
1586,-9:8:1;-1:-8:1;,1189,23104,298432924,79830649,4.280322027141516,1.9023920618101733
1587,-9:8:1;1:8:1;,595,11552,209042104,55928453,4.279109168691865,1.9021392199553262
1588,1:8:1;9:-8:1;,1191,23104,2091811612,559754517,4.277897329023057,1.901886758479584
1589,1:8:1;9:8:1;,149,2888,261650273,70028063,4.276686506425009,1.901634676521363
1590,-1:0:1;8:-7:1;,1193,23104,2094588424,560694491,4.275476699191943,1.9013799894620262
1591,-2:-1:1;3:2:1;,597,11552,752324,201423,4.274267905622366,1.9011256841578372
1592,-2:-2:1;3:-1:1;,1195,23104,2097360904,561634465,4.27306012401906,1.9008717597471667
1593,-2:-9:1;9:-6:1;,2391,46208,4196108048,1123738917,4.272456612175543,1.9007449401083538
1594,-2:1:1;3:-2:1;,2393,46208,4198880528,1124678891,4.271250345348672,1.9004915854280977
1595,-2:2:1;3:1:1;,2395,46208,600236144,160802695,4.270045086263629,1.9002386094986534
1596,-2:3:1;8:-9:1;,2397,46208,4204425488,1126558839,4.268840833238038,1.8999860114674583
1597,-3:-1:1;-2:2:1;,2399,46208,4207197968,1127498813,4.267637584593737,1.8997337904845184
1598,-3:-1:1;2:-2:1;,2401,46208,4209970448,1128438787,4.266435338656755,1.8994819457023984
1599,-3:-2:1;-2:-1:1;,2403,46208,4212742928,1129378761,4.265234093757305,1.8992304762762118
1600,-3:-2:1;2:1:1;,2405,46208,324270416,86947595,4.264033848229767,1.898979381363612
1601,-3:-2:1;4:-6:1;,1203,23104,2108450824,565394361,4.263434099711095,1.8988539740873658
