rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
4578,3:8:1;7:-2:1;,77,272,104487542,59338125,1.820676300555438,0.8162996951670671
4579,-1:2:1;7:-7:1;,2619,9248,394846828,224251875,1.8201253381500826,0.8161730527648237
4580,-2:8:1;8:5:1;,10477,36992,14215530832,8073838125,1.819987630419258,0.8161414055377392
4581,-5:3:1;8:-5:1;,10479,36992,947841392,538358625,1.819712254384658,0.8160781271221997
4582,-7:7:1;-1:2:1;,10483,36992,14221800976,8078461875,1.8191616599534395,0.8159516344075073
4583,-7:7:1;1:-2:1;,10487,36992,14225981072,8081544375,1.8186112755725579,0.815825227108766
4584,-8:-5:1;-2:8:1;,1311,4624,25773598,14641875,1.8184737122789245,0.8157936386201284
4585,-8:-5:1;2:-8:1;,617,2176,167389072,95095125,1.8183361621009215,0.8157620554631936
4586,-8:5:1;-5:3:1;,10491,36992,4743387056,2694875625,1.8180611010818064,0.8156989051390031
4587,-8:5:1;5:-3:1;,10493,36992,14232251216,8086168125,1.8177860924952152,0.8156357761253421
4588,1:-2:1;7:-7:1;,10497,36992,4745477104,2696416875,1.8172362325396731,0.8155095819862317
4589,2:-8:1;8:5:1;,5249,18496,7118738168,4045010625,1.8170988002899013,0.8154780467535975
4590,5:-3:1;8:-5:1;,2625,9248,1186630532,674296875,1.8168239750598316,0.8154149922414269
4591,-1:7:1;8:8:1;,10503,36992,569708012,323754975,1.8164118353510184,0.8153203332401833
4592,-8:-8:1;-1:7:1;,309,1088,418995124,238123125,1.815999813345965,0.8152257220929934
4593,-8:-8:1;1:-7:1;,10509,36992,4749656044,2699499375,1.8155879089774596,0.8151311587633748
4594,1:-7:1;8:8:1;,657,2312,890756378,506300625,1.8151761221783493,0.8150366432148827
4595,-2:-2:1;4:-6:1;,2629,9248,712813876,405194625,1.8146272558826329,0.8149103847897035
4596,-2:-6:1;4:2:1;,1315,4624,1782556624,1013371875,1.8140785983210141,0.8147842113405802
4597,-2:2:1;4:6:1;,2631,9248,3566157116,2027514375,1.8135301493347895,0.8146581227812726
4598,-2:6:1;4:-2:1;,329,1156,445900123,253535625,1.8129819087654375,0.8145321190256566
4599,-4:-2:1;-2:-6:1;,2633,9248,3568244852,2029055625,1.812433876454616,0.8144061999877266
4600,-4:-2:1;2:6:1;,1317,4624,356928872,202982625,1.8118860522441644,0.8142803655815928
4601,-4:-6:1;-2:2:1;,155,544,210019564,119446875,1.811338435976102,0.8141546157214827
4602,-4:-6:1;2:-2:1;,659,2312,892844114,507841875,1.810791027492627,0.8140289503217403
4603,-4:2:1;-2:6:1;,2637,9248,3572420324,2032138125,1.8102438266361187,0.8139033692968253
4604,-4:2:1;2:-6:1;,1319,4624,1786732096,1016454375,1.809696833249134,0.8137778725613143
4605,-4:6:1;-2:-2:1;,2639,9248,714901612,406735875,1.8091500471744104,0.8136524600298992
4606,-4:6:1;2:2:1;,165,578,446943991,254306250,1.808603468254863,0.8135271316173882
4607,-6:-1:1;0:-6:1;,2641,9248,188241884,107116875,1.8080570963335858,0.8134018872387042
4608,-6:-1:1;0:6:1;,1321,4624,1788819832,1017995625,1.8075109312538513,0.8132767268088864
4609,-6:-6:1;0:-1:1;,2643,9248,3578683532,2036761875,1.806964972859109,0.8131516502430881
4610,-6:-6:1;0:1:1;,661,2312,35797274,20375325,1.806419220992987,0.8130266574565786
4611,-6:1:1;0:-6:1;,2645,9248,3580771268,2038303125,1.8058736754992908,0.812901748364741
4612,-6:1:1;0:6:1;,1323,4624,1790907568,1019536875,1.805328336222002,0.8127769228830733
4613,-6:6:1;0:-1:1;,2647,9248,3582859004,2039844375,1.8047832030052804,0.8126521809271883
4614,-6:6:1;0:1:1;,331,1156,447987859,255076875,1.8042382756934612,0.8125275224128118
4615,0:-1:1;6:-6:1;,2649,9248,716989348,408277125,1.8036935541310566,0.8124029472557847
4616,0:-1:1;6:6:1;,1325,4624,1792995304,1021078125,1.803149038162755,0.812278455372061
4617,0:-6:1;6:-1:1;,2651,9248,3587034476,2042926875,1.8026047276334198,0.8121540466777087
4618,0:-6:1;6:1:1;,39,136,52765858,30054375,1.802060622388091,0.8120297210889086
4619,0:1:1;6:-6:1;,2653,9248,3589122212,2044468125,1.801516722271983,0.8119054785219553
4620,0:1:1;6:6:1;,1327,4624,359016608,204523875,1.8009730271304853,0.811781318893256
4621,0:6:1;6:-1:1;,2655,9248,3591209948,2046009375,1.800429536809163,0.8116572421193309
4622,0:6:1;6:1:1;,83,289,449031727,255847500,1.799886251153754,0.8115332481168125
4623,2:-2:1;4:6:1;,2657,9248,3593297684,2047550625,1.7993431700101723,0.8114093368024461
4624,2:-6:1;4:-2:1;,1329,4624,1797170776,1024160625,1.7988002932245044,0.8112855080930891
4625,2:2:1;4:-6:1;,2659,9248,719077084,409818375,1.798257620643011,0.8111617619057105
4626,2:6:1;4:2:1;,665,2312,47321438,26971875,1.7977151521121268,0.811038098157392
4627,-7:3:1;8:1:1;,313,1088,423170596,241205625,1.7974439943177212,0.8109758335138525
4628,-8:-1:1;-7:3:1;,2661,9248,1199156948,683544375,1.7971728874784587,0.8109135895834233
4629,-8:-1:1;7:-3:1;,5323,18496,7195983244,4102036875,1.7969018315751928,0.8108513663557128
4630,7:-3:1;8:1:1;,1331,4624,71970248,41028075,1.7966308265887871,0.8107891638203355
4631,-1:-6:1;6:0:1;,2663,9248,143982112,82086975,1.7960889692900646,0.8106643574621889
4632,-1:-6:1;7:0:1;,5327,18496,57601168,32840955,1.7958181169395293,0.8106019853806077
4633,-3:-7:1;6:-3:1;,2665,9248,144065344,82148625,1.7950058648541407,0.8104149934012204
4634,-3:7:1;6:3:1;,5333,18496,288255536,164389725,1.7941940698176846,0.8102281876021262
4635,-6:-3:1;-3:7:1;,667,2312,36047548,20560275,1.7933827313160937,0.8100415677038418
4636,-6:-3:1;3:-7:1;,5339,18496,288505232,164574675,1.7925718488361673,0.809855133427446
4637,-6:0:1;-1:-6:1;,5341,18496,288588464,164636325,1.7920315136085443,0.8097309468956349
4638,-6:0:1;1:6:1;,5343,18496,288671696,164697975,1.7914913806779038,0.8096068426563747
4639,-6:3:1;-3:-7:1;,2673,9248,144398272,82395225,1.7906815602576005,0.8094208404161719
4640,-6:3:1;3:7:1;,5349,18496,288921392,164882925,1.7898721941545277,0.809235022872162
4641,-7:0:1;-1:-6:1;,2675,9248,144481504,82456875,1.789602506324807,0.8091731246866173
4642,-7:0:1;1:6:1;,5351,18496,289004624,164944575,1.7893328688993164,0.8091112469819179
4643,1:6:1;6:0:1;,5353,18496,2862256,1633725,1.7887937451856848,0.8089875529741806
4644,1:6:1;7:0:1;,2677,9248,144564736,82518525,1.788524258859901,0.8089257366507224
4645,3:-7:1;6:3:1;,5357,18496,57850864,33025905,1.7877161017810395,0.8087404102796147
4646,3:7:1;6:-3:1;,335,1156,18086198,10326375,1.786908397155544,0.8085552675935693
4647,-4:-3:1;7:6:1;,5363,18496,2412532696,1377620625,1.786101144477079,0.8083698474593625
4648,-7:-6:1;-4:-3:1;,2683,9248,3620358488,2067586875,1.7852943432401576,0.8081846108589888
4649,-7:-6:1;4:3:1;,5369,18496,7243835864,4137485625,1.7844879929401412,0.8079995575185588
4650,4:3:1;7:6:1;,79,272,35524288,20293125,1.7836820930732364,0.8078146871647298
4651,-1:0:1;6:6:1;,2687,9248,3624515464,2070669375,1.7831450764875127,0.807690928277491
4652,-6:-6:1;-1:0:1;,84,289,226597097,129465000,1.7826082597219184,0.80756725086727
4653,-6:-6:1;1:0:1;,2689,9248,241772776,138147375,1.7820716426278058,0.8074436548531785
4654,1:0:1;6:6:1;,1345,4624,1813814864,1036490625,1.7815352250566923,0.8073201401544354
4655,-1:8:1;7:-6:1;,2691,9248,725733332,414750375,1.7809990068602612,0.8071962470848547
4656,-6:7:1;8:7:1;,5383,18496,1036910036,592610625,1.7807309724812481,0.8071343310864302
4657,-7:6:1;-1:8:1;,5385,18496,7260444116,4149815625,1.780195053069109,0.8070105601118688
4658,-7:6:1;1:-8:1;,5387,18496,1452503596,830271375,1.7796593326615833,0.8068868704331763
4659,-8:-7:1;-6:7:1;,1347,4624,1815888728,1038031875,1.7793915470383759,0.8068250560546131
4660,-8:-7:1;6:-7:1;,317,1088,427328932,244288125,1.779123811110932,0.806763261969829
4661,1:-8:1;7:-6:1;,5391,18496,7266665708,4154439375,1.7785884882695808,0.8066397346414105
4662,6:-7:1;8:7:1;,337,1156,90846283,51940125,1.7783209013188201,0.8065780013776983
4663,-3:-6:1;8:-4:1;,5393,18496,7268736104,4155980625,1.7780533639901188,0.8065156000409004
4664,-3:6:1;8:4:1;,2697,9248,3634884784,2078375625,1.7777858762650753,0.8064532191437369
4665,-4:5:1;7:-6:1;,5395,18496,7270803032,4157521875,1.7775184381252997,0.8063908586761083
4666,-5:-6:1;7:-2:1;,1349,4624,1817959124,1039573125,1.7772510495524112,0.8063285186279223
4667,-7:-8:1;0:-7:1;,5397,18496,1454573992,831812625,1.7769837105280404,0.8062661989890932
