rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
17528,A=6.12|t=0.0|e=1.0,5983,9248,6092178956,4610649375,0.6282723348457233,0.40198836357745493
17529,A=6.12|t=0.0|e=16.0,11,17,17919887,13563000,0.6280312226130421,0.40188521652460574
17530,A=6.13|t=0.0|e=0.1,5985,9248,6093344204,4612190625,0.6277901506698145,0.4017820965688368
17531,A=6.13|t=0.0|e=0.16,2993,4624,3046963414,2306480625,0.6275491190025779,0.40167900369920906
17532,A=6.13|t=0.0|e=1.0,5987,9248,6094509452,4613731875,0.6273081275978766,0.40157593790478857
17533,A=6.13|t=0.0|e=16.0,1497,2312,1523773019,1153625625,0.6270671764422621,0.4014728991746476
17534,A=6.14|t=0.0|e=0.1,5989,9248,243826988,184610925,0.6268262655222919,0.401369887497865
17535,A=6.14|t=0.0|e=0.16,2995,4624,3048128662,2308021875,0.6265853948245309,0.4012669028635249
17536,A=6.14|t=0.0|e=1.0,5991,9248,6096839948,4616814375,0.62634456433555,0.4011639452607177
17537,A=6.14|t=0.0|e=16.0,749,1156,1524355643,1154396250,0.6261037740419277,0.40106101467853994
17538,A=6.15|t=0.0|e=0.1,5993,9248,6098005196,4618355625,0.6258630239302487,0.40095811110609375
17539,A=6.15|t=0.0|e=0.16,2997,4624,609858782,461912625,0.6256223139871042,0.4008552345324878
17540,A=6.15|t=0.0|e=1.0,5995,9248,6099170444,4619896875,0.6253816441990928,0.40075238494683646
17541,A=6.15|t=0.0|e=16.0,1499,2312,1524938267,1155166875,0.6251410145528193,0.40064956233826005
17542,A=6.16|t=0.0|e=0.1,5997,9248,6100335692,4621438125,0.624900425034895,0.40054676669588507
17543,A=6.16|t=0.0|e=0.16,2999,4624,3050459158,2311104375,0.6246598756319386,0.40044399800884367
17544,A=6.16|t=0.0|e=1.0,5999,9248,1220300188,924595875,0.6244193663305749,0.4003412562662742
17545,A=6.16|t=0.0|e=16.0,375,578,1525520891,1155937500,0.6241788971174357,0.4002385414573209
17546,A=6.1|t=0.0|e=0.1,353,544,358980364,272030625,0.6239384679791591,0.40013585357113435
17547,A=6.1|t=0.0|e=0.16,3001,4624,3051624406,2312645625,0.6236980789023905,0.40003319259687026
17548,A=6.1|t=0.0|e=1.0,6003,9248,6103831436,4626061875,0.6234577298737816,0.399930558523691
17549,A=6.1|t=0.0|e=16.0,1501,2312,305220703,231341625,0.6232174208799903,0.399827951340765
17550,A=6.2|t=0.0|e=0.1,6005,9248,6104996684,4627603125,0.6229771519076823,0.39972537103726585
17551,A=6.2|t=0.0|e=0.16,3003,4624,3052789654,2314186875,0.6227369229435292,0.3996228176023736
17552,A=6.2|t=0.0|e=1.0,6007,9248,6106161932,4629144375,0.6224967339742089,0.3995202910252744
17553,A=6.2|t=0.0|e=16.0,751,1156,1526686139,1157478750,0.622256584986407,0.3994177912951601
17554,A=6.3|t=0.0|e=0.1,6009,9248,1221465436,926137125,0.622016475966815,0.3993153184012284
17555,A=6.3|t=0.0|e=0.16,3005,4624,3053954902,2315728125,0.6217764069021311,0.39921287233268293
17556,A=6.3|t=0.0|e=1.0,6011,9248,6108492428,4632226875,0.6215363777790602,0.39911045307873355
17557,A=6.3|t=0.0|e=16.0,1503,2312,1527268763,1158249375,0.6212963885843142,0.39900806062859595
17558,A=6.4|t=0.0|e=0.1,6013,9248,6109657676,4633768125,0.6210564393046113,0.39890569497149114
17559,A=6.4|t=0.0|e=0.16,3007,4624,122204806,92690775,0.6208165299266758,0.3988033560966469
17560,A=6.4|t=0.0|e=1.0,6015,9248,6110822924,4635309375,0.62057666043724,0.3987010439932965
17561,A=6.4|t=0.0|e=16.0,188,289,1527851387,1159020000,0.6203368308230415,0.39859875865067923
17562,A=6.5|t=0.0|e=0.1,6017,9248,6111988172,4636850625,0.6200970410708249,0.3984965000580397
17563,A=6.5|t=0.0|e=0.16,177,272,179781494,136400625,0.6198572911673419,0.39839426820462953
17564,A=6.5|t=0.0|e=1.0,6019,9248,1222630684,927678375,0.6196175810993503,0.39829206307970527
17565,A=6.5|t=0.0|e=16.0,1505,2312,35544977,26971875,0.6193779108536145,0.39818988467252964
17566,A=6.6|t=0.0|e=0.1,6021,9248,6114318668,4639933125,0.6191382804169054,0.39808773297237143
17567,A=6.6|t=0.0|e=0.16,3011,4624,22317158,16936875,0.6188986897760014,0.3979856079685051
17568,A=6.6|t=0.0|e=1.0,6023,9248,6115483916,4641474375,0.6186591389176861,0.39788350965021096
17569,A=6.6|t=0.0|e=16.0,753,1156,305803327,232112250,0.6184196278287506,0.39778143800677546
17570,A=6.7|t=0.0|e=0.1,6025,9248,6116649164,4643015625,0.6181801564959924,0.3976793930274907
17571,A=6.7|t=0.0|e=0.16,3013,4624,3058615894,2321893125,0.6179407249062158,0.39757737470165466
17572,A=6.7|t=0.0|e=1.0,6027,9248,6117814412,4644556875,0.6177013330462306,0.39747538301857105
17573,A=6.7|t=0.0|e=16.0,1507,2312,1529599259,1161331875,0.6174619809028548,0.39737341796754966
17574,A=6.8|t=0.0|e=0.1,6029,9248,1223795932,929219625,0.6172226684629117,0.3972714795379062
17575,A=6.8|t=0.0|e=0.16,3015,4624,3059781142,2323434375,0.6169833957132318,0.39716956771896184
17576,A=6.8|t=0.0|e=1.0,6031,9248,6120144908,4647639375,0.6167441626406513,0.39706768250004376
17577,A=6.8|t=0.0|e=16.0,377,578,1530181883,1162102500,0.6165049692320146,0.3969658238704854
17578,A=6.9|t=0.0|e=0.1,6033,9248,6121310156,4649180625,0.6162658154741708,0.39686399181962523
17579,A=6.9|t=0.0|e=0.16,3017,4624,612189278,464995125,0.6160267013539765,0.3967621863368084
17580,A=6.9|t=0.0|e=1.0,355,544,360145612,273571875,0.615787626858295,0.3966604074113849
17581,A=6.9|t=0.0|e=16.0,1509,2312,1530764507,1162873125,0.6155485919739956,0.3965586550327117
17582,A=7.0|t=0.0|e=0.1,6037,9248,6123640652,4652263125,0.6153095966879544,0.3964569291901508
17583,A=7.0|t=0.0|e=0.16,3019,4624,3062111638,2326516875,0.6150706409870537,0.39635522987307
17584,A=7.0|t=0.0|e=1.0,6039,9248,244992236,186152175,0.6148317248581829,0.39625355707084314
17585,A=7.0|t=0.0|e=16.0,755,1156,1531347131,1163643750,0.6145928482882377,0.39615191077285
17586,A=7.0|t=1.0|e=16.0,12081,18496,12251359672,9309920625,0.6144734248337684,0.39610109755962386
17587,A=7.0|t=1.16|e=0.1,24163,36992,24503301968,18620611875,0.6144137168134439,0.39607569343637294
17588,A=7.0|t=1.1|e=0.16,6041,9248,6125971148,4655345625,0.6143540112641196,0.3960502909684759
17589,A=7.10|t=0.0|e=0.1,3021,4624,3063276886,2328058125,0.6141152137727379,0.39594869764711205
17590,A=7.10|t=0.0|e=0.16,6043,9248,6127136396,4656886875,0.6138764558010075,0.3958471307981557
17591,A=7.10|t=0.0|e=1.0,1511,2312,306385951,232882875,0.6136377373358496,0.39574559041100904
17592,A=7.10|t=0.0|e=16.0,6045,9248,6128301644,4658428125,0.6133990583641928,0.3956440764750813
17593,A=7.11|t=0.0|e=0.1,3023,4624,3064442134,2329599375,0.6131604188729717,0.3955425889797864
17594,A=7.11|t=0.0|e=0.16,6047,9248,6129466892,4659969375,0.612921818849127,0.39544112791454467
17595,A=7.11|t=0.0|e=1.0,189,289,1532512379,1165185000,0.6126832582796061,0.39533969326878166
17596,A=7.11|t=0.0|e=16.0,6049,9248,1226126428,932302125,0.6124447371513636,0.3952382850319295
17597,A=7.12|t=0.0|e=0.1,3025,4624,3065607382,2331140625,0.6122062554513596,0.3951369031934253
17598,A=7.12|t=0.0|e=0.16,6051,9248,6131797388,4663051875,0.6119678131665611,0.39503554774271243
17599,A=7.12|t=0.0|e=1.0,89,136,90182059,68585625,0.6117294102839417,0.3949342186692398
17600,A=7.12|t=0.0|e=16.0,6053,9248,6132962636,4664593125,0.611491046790481,0.394832915962462
17601,A=7.13|t=0.0|e=0.1,3027,4624,613354526,466536375,0.6112527226731653,0.3947316396118396
17602,A=7.13|t=0.0|e=0.16,6055,9248,6134127884,4666134375,0.6110144379189877,0.3946303896068387
17603,A=7.13|t=0.0|e=1.0,757,1156,1533677627,1166726250,0.6107761925149472,0.3945291659369311
17604,A=7.13|t=0.0|e=16.0,6057,9248,6135293132,4667675625,0.6105379864480495,0.39442796859159457
17605,A=7.14|t=0.0|e=0.1,3029,4624,3067937878,2334223125,0.6102998197053063,0.3943267975603127
17606,A=7.14|t=0.0|e=0.16,6059,9248,1227291676,933843375,0.6100616922737369,0.3942256528325741
17607,A=7.14|t=0.0|e=1.0,1515,2312,1534260251,1167496875,0.6098236041403656,0.3941245343978743
17608,A=7.14|t=0.0|e=16.0,6061,9248,6137623628,4670758125,0.6095855552922238,0.39402344224571306
