rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
4219,24.63.6.-36,17175,73984,21611760442,13235484375,2.106903203907854,0.7074056017789679
4220,24.69.-6.-18,8589,36992,3602475746,2206299375,2.1066512267801696,0.7073601523900035
4221,6.-5.24.-38,17181,73984,4323589702,2648021625,2.106399293654429,0.7073147174419177
4222,6.19.-24.34,537,2312,1351315159,827651250,2.106147404515266,0.7072692969278064
4223,-20.-45.-6.28,2149,9248,2703661181,1656073125,2.1054759150728954,0.7071479890493542
4224,-20.-51.6.10,1075,4624,1352346022,828421875,2.1048047380238564,0.7070267838287347
4225,20.45.6.-28,2151,9248,2705722907,1657614375,2.104133873077618,0.7069056811352633
4226,20.51.-6.-10,269,1156,270675377,165838500,2.1034633199440544,0.7067846808384777
4227,-10.-17.-4.13,2153,9248,2707783766,1659155625,2.102793078333445,0.7066633208745017
4228,-10.-21.4.1,1077,4624,1354406881,829963125,2.1021231479564713,0.7065420633983903
4229,10.17.4.-13,2155,9248,2709843758,1660696875,2.1014535285242184,0.7064209082799447
4230,10.21.-4.-1,539,2312,1355436877,830733750,2.1007842197481734,0.7062998553891878
4231,-16.-32.-8.26,4313,18496,361518481,221580375,2.1004496817661784,0.7062392903520434
4232,-16.-40.8.2,2157,9248,2711903461,1662238125,2.1001152213402245,0.7061787508523776
4233,0.-15.-2.11,127,544,1277159,782955,2.0987781544781736,0.705936847904667
4234,0.-17.2.5,2161,9248,905340763,555106875,2.0974423256411714,0.7056953522629353
4235,0.15.2.-11,2163,9248,2718081703,1666861875,2.0961077325387,0.7054542628959661
4236,0.17.-2.-5,2165,9248,2720141117,1668403125,2.0947743728865915,0.7052135787760322
4237,16.32.8.-26,4331,18496,1813770647,1112525625,2.0944412254331106,0.7051534709457923
4238,16.40.-8.-2,1083,4624,1360585412,834586875,2.0941081548923517,0.7050933883634894
4239,-2.-21.-4.17,8665,36992,3628570712,2225821875,2.093941648453147,0.705063241630897
4240,-2.-25.4.5,4333,18496,5443370488,3339118125,2.0937751612288102,0.7050331012260332
4241,-8.-11.14.-21,2167,9248,907399888,556648125,2.0934422444070053,0.7049728393914978
4242,-8.3.-14.21,15,64,18842312,11559375,2.0931094043914813,0.7049126028439039
4243,2.21.4.-17,8671,36992,1210209464,742454375,2.0929430131750015,0.7048824940477205
4244,2.25.-4.-5,271,1156,340403563,208839375,2.0927766411468074,0.7048523915672863
4245,8.-3.14.-21,4337,18496,1815828616,1114066875,2.092443954637576,0.704792205545693
4246,8.11.-14.21,2169,9248,2724257344,1671485625,2.092111344828405,0.7047320447631857
4247,-5.-25.-5.20,1085,4624,3633713467,2229675000,2.0914463551688374,0.7046112251427967
4248,-5.-30.5.5,2171,9248,5452625713,3346053750,2.0907816718855345,0.7044905067206034
4249,5.25.5.-20,543,2312,10909362451,6695190000,2.0901172946963174,0.7043698893690917
4250,5.30.-5.-5,2173,9248,303152041,186063125,2.0894532233193956,0.7042493729609627
4251,0.-12.12.-15,8693,36992,2182900232,1339808625,2.0892872532253515,0.7042192500663238
4252,0.0.-12.21,4347,18496,5457764422,3349906875,2.089121302222593,0.7041891334725172
4253,0.0.12.-21,8695,36992,3638852176,2233528125,2.088955370306729,0.7041590231775595
4254,0.12.-12.15,1087,4624,2729396053,1675338750,2.0887894574733696,0.7041289191794684
4255,-7.-10.11.-16,17397,73984,2426700632,1489618125,2.088374758847131,0.704053610358671
4256,-7.1.-11.17,8701,36992,96661252,59338125,2.0879601793905898,0.7039783408858861
4257,7.-1.11.-17,17407,73984,21850580216,13414269375,2.087545719035276,0.7039031107301806
4258,7.10.-11.16,4353,18496,364261958,223635375,2.0871313777127782,0.703827919860655
4259,-4.-15.6.-4,2177,9248,364330451,223686750,2.086799990312472,0.703767780171706
4260,-4.-9.-6.14,4355,18496,28030688,17210625,2.0864686790144518,0.7037076655961031
4261,4.15.-6.4,1089,4624,364467437,223789500,2.086137443783772,0.7036475761180668
4262,4.9.6.-14,4357,18496,72907186,44768175,2.085806284585511,0.7035875117218315
4263,-6.-20.-14.33,8719,36992,2188242686,1343815875,2.084978719002738,0.7034372698248534
4264,-6.-34.14.-9,2181,9248,547317448,336146625,2.0841516278599284,0.7032871845237435
4265,6.20.14.-33,8729,36992,243366322,149484125,2.0833250106134047,0.70313725557299
4266,6.34.-14.9,4367,18496,1095662002,673063875,2.0824988667204236,0.7029874827275967
4267,-13.-20.-7.19,257,1088,21491621,13203375,2.0818382920564615,0.7028675484467781
4268,-13.-27.7.-2,4371,18496,219296668,134736075,2.08117801971501,0.7027477139629713
4269,13.20.7.-19,4373,18496,1096894009,673988625,2.0805180494194713,0.7026279791512539
4270,13.27.-7.2,4375,18496,121922742,74921875,2.0798583808936253,0.7025083438869125
4271,-1.-14.29.-44,8751,36992,3658024436,2247913125,2.079693510881345,0.702478431613969
4272,-1.-30.-3.20,547,2312,914591653,562042500,2.079528659708122,0.7024485255565642
4273,-1.-33.3.11,8753,36992,1219569596,749475625,2.079363827369652,0.7024186257127549
4274,-1.15.-29.43,4377,18496,1829525482,1124341875,2.079199013861632,0.7023887320805984
4275,-13.-43.-13.41,515,2176,43051684,26458125,2.079034219179759,0.7023588446581525
4276,-13.-56.13.2,2189,9248,304977943,187433125,2.0788694433197326,0.7023289634434763
4277,-15.-16.-17.34,8757,36992,3660077492,2249454375,2.0787046862772547,0.7022990884346295
4278,-15.-33.17.-17,4379,18496,1830209834,1124855625,2.0785399480480278,0.7022692196296727
4279,-17.-48.-15.46,8759,36992,64223892,39473125,2.0783752286277553,0.702239357026667
4280,-17.-63.15.1,1095,4624,183055201,112511250,2.0782105280121432,0.7022095006236749
4281,-19.-44.-5.26,17525,73984,1464783784,900346875,2.077798858715331,0.7021348867285433
4282,-19.-49.5.11,8765,36992,48837532,30020125,2.0773873068537783,0.702060311541147
4283,1.-15.29.-43,4383,18496,1831578538,1125883125,2.0772227189760244,0.7020304922975857
4284,1.14.-29.44,8767,36992,3663499252,2252023125,2.0770581498729097,0.7020006792404955
4285,1.30.3.-20,137,578,305320119,187690000,2.0768935995401523,0.7019708723679451
4286,1.33.-3.-11,8769,36992,3664183604,2252536875,2.07672906797347,0.7019410716780037
4287,13.43.13.-41,4385,18496,366452578,225279375,2.0765645551685834,0.7019112771687418
4288,13.56.-13.-2,8771,36992,1221622652,751016875,2.0764000611212143,0.7018814888382302
4289,15.16.17.-34,129,544,53900149,33136875,2.0762355858270856,0.7018517066845408
4290,15.33.-17.17,8773,36992,3665552308,2253564375,2.0760711292819214,0.7018219307057463
4291,17.48.15.-46,4387,18496,610982414,375636875,2.0759066914814484,0.70179216089992
4292,17.63.-15.-1,8775,36992,733247332,450815625,2.0757422724213934,0.7017623972651366
4293,19.44.5.-26,17555,73984,293367368,180377625,2.0753313067325614,0.7016880151638583
4294,19.49.-5.-11,2195,9248,61132459,37589375,2.0749204580779583,0.7016136715895122
4295,-3.-17.21.-29,17565,73984,22012816724,13536028125,2.074509726390945,0.7015392907491471
4296,-3.4.-21.34,8785,36992,11008974104,6769940625,2.0740991116049403,0.701464948411016
4297,3.-4.21.-34,17575,73984,7341026564,4514578125,2.073688613653419,0.7013906445451327
4298,3.17.-21.29,4395,18496,5507052794,3386896875,2.0732782324699124,0.7013163791215422
4299,-5.-7.11.-17,4397,18496,612122808,376493125,2.0726218652880317,0.7011976040563787
4300,-5.4.-11.16,4399,18496,44089262,27119835,2.071965796590555,0.701078927227038
4301,5.-4.11.-16,4401,18496,5513210228,3391520625,2.071310026106133,0.700960348511297
4302,5.7.-11.17,259,1088,108142406,66530625,2.0706545535637857,0.7008418677871354
4303,-7.-22.-13.32,17617,73984,4413235768,2715220125,2.0702450344032712,0.7007676591975514
4304,-7.-35.13.-7,8811,36992,11035653428,6789976875,2.0698356314546715,0.7006934889052494
4305,7.22.13.-32,17627,73984,2452937208,1509311875,2.0694263446520487,0.7006193568804927
4306,7.35.-13.7,551,2312,2760195361,1698457500,2.069017173929521,0.7005452630935757
4307,-3.-16.-13.30,4409,18496,5521416094,3397685625,2.0686899208849314,0.70048595516492
4308,-3.-29.13.-9,2205,9248,920406911,566409375,2.068362742055796,0.7004266716967453
4309,3.16.13.-30,4411,18496,5523466838,3399226875,2.068035637408461,0.7003674126738723
4310,3.29.-13.9,1103,4624,552449221,339999750,2.0677086069092963,0.7003081780811343
4311,-17.-32.-7.24,17653,73984,22103094544,13603843125,2.0672999230050055,0.700234093718523
4312,-17.-39.7.3,8829,36992,11054110124,6803848125,2.066891354839128,0.7001600475097408
4313,-5.-23.19.-23,4417,18496,5529617914,3403850625,2.0660745654605255,0.700012069435439
4314,-5.-4.-19.34,8839,36992,11064361532,6811554375,2.065258238249876,0.6998642436220844
4315,17.32.7.-24,17683,73984,22133848768,13626961875,2.064850247794147,0.699790387739601
4316,17.39.-7.-3,2211,9248,2767371809,1703851875,2.0644423726844527,0.6997165698340216
4317,5.23.-19.23,8849,36992,2214922588,1363852125,2.063626968242417,0.6995690478360821
4318,5.4.19.-34,4427,18496,5539869322,3411556875,2.062812024402813,0.6994216773935846
4319,-13.-41.-13.40,521,2176,651930212,401495625,2.062323278971831,0.6993332675847601
4320,-13.-54.13.1,2215,9248,307941349,189659375,2.061834699058298,0.699244912234466
4321,13.41.13.-40,8863,36992,11088963524,6830049375,2.0613462845501447,0.699156611292235
4322,13.54.-13.-1,4433,18496,5546019242,3416180625,2.0608580353354142,0.6990683647076611
4323,-4.-1.-18.31,4435,18496,5548068541,3417721875,2.0602072933122524,0.6989506117136209
4324,-4.-19.18.-23,261,1088,2418352,1489875,2.059556844680455,0.6988329552762781
4325,4.1.18.-31,4439,18496,5552167139,3420804375,2.0589066891755854,0.6987153952765266
4326,4.19.-18.23,4441,18496,5554216438,3422345625,2.058256826533566,0.6985979315954567
4327,-13.-23.15.-18,2221,9248,2777620327,1711558125,2.057932004953698,0.6985391232574508
4328,-13.-39.-17.46,4443,18496,370417658,228259125,2.057607256490675,0.6984803389961269
4329,-13.-56.17.-5,1111,4624,2778644543,1712328750,2.0572825811115867,0.6984215787966532
4330,-13.-8.-15.27,4445,18496,5558313302,3425428125,2.056957978783547,0.6983628426442106
4331,-17.-23.-13.30,2223,9248,926556253,571033125,2.0566334494736886,0.6983041305239918
4332,-17.-36.13.-9,4447,18496,40586582,25014375,2.0563089931491705,0.6982454424212018
4333,-9.-17.-5.15,8897,36992,11123796116,6856250625,2.0558224454381158,0.6981574552673621
4334,-9.-22.5.0,2225,9248,2781717191,1714640625,2.0553360617595566,0.6980695220696382
4335,13.23.-15.18,4451,18496,5564458598,3430051875,2.0550118970484097,0.6980109298888578
4336,13.39.17.-46,1113,4624,927580469,571803750,2.054687805158719,0.6979523616517138
4337,13.56.-17.5,4453,18496,1113301406,686318625,2.0543637860577753,0.6978938173434844
4338,13.8.15.-27,131,544,163750919,100951875,2.054039839712889,0.6978352969494594
4339,17.23.13.-30,4455,18496,1856185154,1144378125,2.0537159660913944,0.6977768004549416
4340,17.36.-13.9,557,2312,2784789839,1716952500,2.053392165160647,0.6977183278452445
4341,9.17.5.-15,8915,36992,11142232004,6870121875,2.0529065999883214,0.6976306636826427
4342,9.22.-5.0,4459,18496,5572652326,3436216875,2.0524211981867744,0.6975430531784024
4343,-10.-17.-20.41,8919,36992,2229265658,1374640875,2.0522594338718783,0.6975137867806526
4344,-10.-37.20.-19,1115,4624,464472997,286415625,2.0520976876930117,0.6974845263513673
4345,-24.-55.-6.32,8921,36992,11148375566,6874745625,2.0519359596461086,0.6974552718887148
4346,-24.-61.6.14,4461,18496,5574699602,3437758125,2.051774249727104,0.6974260233908642
4347,10.17.20.-41,8923,36992,3716807614,2292095625,2.0516125579319344,0.6973967808559854
4348,10.37.-20.19,2231,9248,557572324,343852875,2.051450884256538,0.6973675442822491
4349,24.55.6.-32,525,2176,656027654,404578125,2.0512892286968545,0.6973383136678267
4350,24.61.-6.-14,4463,18496,619638542,382144375,2.051127591248824,0.6973090890108903
4351,-2.-12.-6.16,17853,73984,7436003524,4585989375,2.0510467793154104,0.6972944415357162
4352,-2.-16.10.-10,8927,36992,3718172272,2293123125,2.050965971908388,0.6972797955526577
4353,-2.-18.6.-2,17855,73984,2478895188,1528834375,2.050885169027251,0.6972651510614863
4354,-2.-6.-10.20,279,1156,929628323,573345000,2.050804370671491,0.6972505080619733
4355,2.12.6.-16,17857,73984,7437367604,4587016875,2.0507235768406025,0.6972358665538899
4356,2.16.-10.10,8929,36992,1239618104,764545625,2.050642787534078,0.6972212265370077
4357,2.18.-6.2,17859,73984,7438049644,4587530625,2.0505620027514104,0.6972065880110979
4358,2.6.10.-20,4465,18496,1859597666,1146946875,2.0504812224920936,0.6971919509759323
4359,-4.-23.26.-35,2233,9248,557981548,344161125,2.0501581466782053,0.6971332682927529
4360,-4.3.-26.43,4467,18496,5580837962,3442381875,2.0498351431974227,0.6970746094979857
4361,-7.-36.-9.32,17871,73984,22326419294,13771839375,2.0495929380359557,0.697030631069878
4362,-7.-45.9.5,8937,36992,2232948674,1377415125,2.0493507735299925,0.6969866660646027
4363,4.-3.26.-43,8939,36992,3722262778,2296205625,2.049027950740351,0.6969280669268759
4364,4.23.-26.35,8941,36992,11168833298,6890158125,2.0487052001705734,0.6968694916264012
4365,7.36.9.-32,17885,73984,22340734042,13782628125,2.048463184618091,0.6968255757854643
4366,7.45.-9.-5,559,2312,1396487593,861558750,2.0482212096574886,0.6967816733386234
4367,-15.-26.-5.18,8947,36992,1241663068,766086875,2.047737381457474,0.6966938339825
4368,-15.-31.5.3,4475,18496,6244712,3853125,2.047253715461698,0.6966060481699949
4369,-4.-17.10.-10,17903,73984,7453045276,4598833125,2.047011943256419,0.6965621753272521
4370,-4.-7.-10.20,8953,36992,11181101348,6899405625,2.0467702115614377,0.6965183158520042
4371,15.26.5.-18,2239,9248,932014018,575143125,2.0462868696480814,0.6964306369794827
4372,15.31.-5.-3,31,128,38710156,23889375,2.0458036896131246,0.6963430115034465
4373,4.17.-10.10,17921,73984,2486393004,1534485625,2.045562160266169,0.6962992187738191
4374,4.7.10.-20,4481,18496,5595150976,3453170625,2.0453206713481733,0.6962554393749708
4375,-19.-52.-5.30,17927,73984,3197667088,1973570625,2.0450792228456063,0.6962115987931099
4376,-19.-57.5.15,8965,36992,11193367664,6908653125,2.0448378147449415,0.6961677715502302
4377,19.52.5.-30,17933,73984,4477960208,2763923625,2.044596447032661,0.6961239576402246
4378,19.57.-5.-15,1121,4624,1399554172,863870625,2.044355119695252,0.6960801570569898
4379,-5.-18.21.-29,8969,36992,3732484708,2303911875,2.044194257227461,0.6960508151283296
4380,-5.-22.-11.29,4485,18496,430710572,265865625,2.044033412694055,0.6960214791453285
4381,-5.-33.11.-4,8971,36992,2239899124,1382655375,2.043872586091036,0.6959921491061739
4382,-5.3.-21.34,2243,9248,933376364,576170625,2.0437117774144067,0.6959628250090529
4383,-9.-1.-13.21,17949,73984,722778596,446191875,2.043309834124567,0.6958895407507623
4384,-9.-14.13.-18,8977,36992,11205620108,6917900625,2.042908002787293,0.6958162935905771
4385,5.-3.21.-34,4489,18496,1867773476,1153111875,2.042747301585134,0.695787005107642
4386,5.18.-21.29,8979,36992,11207661604,6919441875,2.0425866182814216,0.6957577225540752
4387,5.22.11.-29,2245,9248,2802170588,1730053125,2.0424259528721698,0.6957284459280703
4388,5.33.-11.4,8981,36992,149462708,92279775,2.0422653053533923,0.6956991752278214
4389,9.1.13.-21,17967,73984,4484901988,2769163875,2.041863764801136,0.6956260243905396
4390,9.14.-13.18,4493,18496,1121480684,692483625,2.0414623359772404,0.6955529105497724
4391,-7.-33.-7.27,2247,9248,2804211506,1731594375,2.0411412733207714,0.695494148729555
4392,-7.-40.7.6,4495,18496,5609442604,3463959375,2.0408202820988692,0.6954354106628485
4393,7.33.7.-27,281,1156,1402615549,866182500,2.0404993622797525,0.6953766963352046
4394,7.40.-7.-6,4497,18496,5611481788,3465500625,2.040178513831663,0.695318005732186
4395,-3.-2.15.-26,17993,73984,22451021066,13865855625,2.039777553588708,0.6952444158246209
4396,-3.13.-15.19,8999,36992,748537166,462323625,2.0393767047514517,0.6951708630540967
4397,3.-13.15.-19,1059,4352,1321247582,816091875,2.038975967258003,0.695097347392413
4398,3.2.-15.26,2251,9248,2808287851,1734676875,2.0385753410465233,0.6950238688113985
4399,-5.-1.-21.36,563,2312,5618610551,3470895000,2.037934570420449,0.6949056825959877
4400,-5.-22.21.-27,2253,9248,112412908,69448725,2.037294084265251,0.694787591625334
4401,5.1.21.-36,1127,4624,5622680249,3473977500,2.0366538823284577,0.6946695957839537
4402,5.22.-21.27,2255,9248,2812357549,1737759375,2.0360139643579354,0.694551694956551
4403,0.-10.-8.19,4511,18496,17309944,10696275,2.035694111781326,0.6944925948550655
4404,0.-18.8.-5,141,578,312597139,193170000,2.0353743301018854,0.6944335185309043
4405,0.10.8.-19,4513,18496,5627765204,3477830625,2.0350546192881915,0.6943744659696717
4406,0.18.-8.5,2257,9248,2814390953,1739300625,2.0347349793088427,0.694315437156983
4407,-1.-15.-1.9,1131,4624,2819472151,1743153750,2.0315424685108585,0.6937252690175616
4408,-1.-16.1.6,2267,9248,313839261,194111875,2.028357006759893,0.6931374642533942
4409,1.15.1.-9,71,289,2829634547,1750860000,2.025178562995997,0.6925520086478661
4410,1.16.-1.-6,2277,9248,566943149,350942625,2.0220071063640566,0.6919688880985428
4411,-12.-37.-2.19,9109,36992,3779959316,2339874375,2.021848716393991,0.6919396313379348
4412,-12.-39.2.13,4555,18496,5670446458,3510196875,2.0216903438112657,0.6919103804072042
4413,12.37.2.-19,9111,36992,11341907884,7021164375,2.021531988612063,0.6918811353046026
4414,12.39.-2.-13,67,272,829889,513750,2.021373650792567,0.6918518960283826
4415,-1.-24.-3.17,9113,36992,11343936664,7022705625,2.0212153303489635,0.691822515559458
4416,-1.-27.3.8,4557,18496,5672475238,3511738125,2.0210570272774393,0.6917931409397119
4417,1.24.3.-17,9115,36992,3781988096,2341415625,2.0208987415741824,0.6917637721673922
4418,1.27.-3.-8,2279,9248,113469781,70250175,2.0207404732353815,0.6917344092407467
4419,-17.-45.-9.34,9119,36992,11350017224,7027329375,2.020265772367631,0.6916460616402071
4420,-17.-54.9.7,4561,18496,1892176058,1171606875,2.019791227642924,0.6915577667451307
4421,17.45.9.-34,9125,36992,11356095472,7031953125,2.0193168389585745,0.6914695245082022
4422,17.54.-9.-7,1141,4624,2839783649,1758566250,2.0188426062119973,0.6913813348821641
4423,-16.-32.-4.19,18259,73984,398619434,246856875,2.0186055482833427,0.6913372230832241
4424,-16.-36.4.7,9131,36992,11362173142,7036576875,2.0183685293007083,0.6912931244291259
4425,16.32.4.-19,18265,73984,4545476966,2815093125,2.018131549251298,0.6912490389139747
4426,16.36.-4.-7,4567,18496,1894201948,1173148125,2.0178946081223246,0.6912049665318786
4427,-4.-21.-6.20,571,2312,3789079,2346810,2.017578747137836,0.6911461748694403
4428,-4.-27.6.2,4569,18496,631625684,391220625,2.0172629552922303,0.6910874065476662
4429,4.21.6.-20,2285,9248,947607302,586959375,2.0169472325552467,0.6910286615526107
4430,4.27.-6.-2,4571,18496,1895552156,1174175625,2.016631578896644,0.6909699398703394
4431,-7.-24.-13.33,2287,9248,5689694147,3524838750,2.015685032089006,0.6907938412813927
4432,-7.-37.13.-6,4577,18496,5692731826,3527150625,2.0147391059000173,0.6906179520851413
4433,7.24.13.-33,1145,4624,379717967,235297500,2.0137937995163724,0.69044227190703
4434,7.37.-13.6,4583,18496,5698807184,3531774375,2.012849112126366,0.6902668003733992
4435,-9.-14.-7.17,18341,73984,182434718,113072265,2.012141002311043,0.6901352054386599
