threshold,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status,gain_ci_low,gain_ci_high
0,10000,0,0,SUPPORTED,0,0
0.0086206896551724137,10000,0,0,SUPPORTED,0,7.7050285069422823e-05
0.017241379310344827,10000,0,0,SUPPORTED,0,0.00069360075187940059
0.025862068965517241,10000,0,0,SUPPORTED,0,0.0028536047304264793
0.034482758620689655,10000,0,0,SUPPORTED,0,0.0071833388424028099
0.043103448275862072,10000,0,0,SUPPORTED,-0.0096262809030907091,0
0.051724137931034482,10000,0,0,SUPPORTED,-0.034863692466140142,0
0.060344827586206899,10000,0,0,SUPPORTED,-0.050122596931289523,0
0.068965517241379309,10000,0,0,SUPPORTED,-0.055628997414649967,0
0.090517241379310345,10000,0,0,SUPPORTED,-0.05649041700075106,0
0.094827586206896547,10000,0,0,SUPPORTED,-0.056489237690663115,1.1608833603830414e-06
0.099137931034482762,10000,0,0,SUPPORTED,-0.056481768704386183,8.5131663352582803e-06
0.10344827586206896,10000,0,0,SUPPORTED,-0.056457395953887803,3.2505087193442267e-05
0.10775862068965517,10000,0,0,SUPPORTED,-0.056378298327791621,6.2600655788976335e-05
0.11206896551724138,10000,0,0,SUPPORTED,-0.056057738517078202,0.00020899540585168948
0.11637931034482758,10000,0,0,SUPPORTED,-0.055850710081428077,0.00034803609833648736
0.1206896551724138,10000,0,0,SUPPORTED,-0.055491167729215106,0.00079286498685130922
0.125,10000,0,0,SUPPORTED,-0.054869315822559626,0.0013524182602988296
0.12931034482758622,10000,0,0,SUPPORTED,-0.054230743398781332,0.0022738440164609742
0.1336206896551724,10000,0,0,SUPPORTED,-0.053389041510372097,0.0032744798789553957
0.13793103448275862,10000,0,0,SUPPORTED,-0.053044457557084708,0.0040311424313192049
0.14224137931034483,10000,0,0,SUPPORTED,-0.0530727806894329,0.0051247050657186226
0.14655172413793102,10000,0,0,SUPPORTED,-0.053126265218132504,0.0063869063259867119
0.15086206896551724,10000,0,0,SUPPORTED,-0.053297811132551491,0.0077630074945934553
0.15517241379310345,10000,0,0,SUPPORTED,-0.055682873955699902,0.0086467530521628973
0.15948275862068967,10000,0,0,SUPPORTED,-0.055845918581287658,0.0095132136044541547
0.16379310344827586,10000,0,0,SUPPORTED,-0.056640413101754848,0.010390256970458497
0.16810344827586207,10000,0,0,SUPPORTED,-0.057528156857674172,0.010764082668743543
0.17241379310344829,10000,0,0,SUPPORTED,-0.060168626120801524,0.010409118708157831
0.17672413793103448,10000,0,0,SUPPORTED,-0.063021765160917939,0.011168508330261222
0.18103448275862069,10000,0,0,SUPPORTED,-0.062662271957147797,0.014520037386007949
0.18534482758620691,10000,0,0,SUPPORTED,-0.065272826305744019,0.016526346073864676
0.18965517241379309,10000,0,0,SUPPORTED,-0.065563488995590502,0.020930287980682586
0.19396551724137931,10000,0,0,SUPPORTED,-0.06796028529156023,0.024905304469836714
0.19827586206896552,10000,0,0,SUPPORTED,-0.069943304575374482,0.030310600071143085
0.20258620689655171,10000,0,0,SUPPORTED,-0.071578555883175299,0.035737597139903474
0.20689655172413793,10000,0,0,SUPPORTED,-0.077652450002004353,0.039882373221280111
0.21120689655172414,10000,0,0,SUPPORTED,-0.082096361352232278,0.045406105672231932
0.21551724137931033,10000,0,0,SUPPORTED,-0.095156268323654591,0.04541436837015228
0.21982758620689655,10000,0,0,SUPPORTED,-0.098142530942417511,0.053353581506981544
0.22413793103448276,10000,0,0,SUPPORTED,-0.096224890644712374,0.063024770153331064
0.22844827586206898,10000,0,0,SUPPORTED,-0.093932881052497599,0.07478396890092788
0.23275862068965517,10000,0,0,SUPPORTED,-0.095292709325656172,0.078783479367949785
0.23706896551724138,10000,0,0,SUPPORTED,-0.090597703398698895,0.090895645739193592
0.2413793103448276,10000,0,0,SUPPORTED,-0.10779170435952175,0.084408453481654822
0.24568965517241378,10000,0,0,SUPPORTED,-0.11373571006143349,0.090955941843497964
0.25,10000,0,0,SUPPORTED,-0.13107809052195893,0.089005934599620862
0.25431034482758619,10000,0,0,SUPPORTED,-0.13314644597900635,0.10359540819985046
0.25862068965517243,10000,0,0,SUPPORTED,-0.140380058289405,0.11438929560638436
0.26293103448275862,10000,0,0,SUPPORTED,-0.14248416578137499,0.13149843589011695
0.26724137931034481,10000,0,0,SUPPORTED,-0.14364550776646401,0.15142385051440196
0.27155172413793105,10000,0,0,SUPPORTED,-0.13825103585996323,0.17581539568034329
