quintile,probability_mass,score_min,score_max,mean_margin,failure_probability
1,0.19336196780204773,0,0.20689655172413793,2.7714421403198188,0.075102149478746064
2,0.21029889583587646,0.21120689655172414,0.23706896551724138,2.8734002831947354,0.070185333207926956
3,0.18720477819442749,0.2413793103448276,0.26293103448275862,2.861090621688001,0.069449322136309041
4,0.19928184151649475,0.26724137931034481,0.29310344827586204,2.8262017617059207,0.069819003945062533
5,0.20985251665115356,0.29741379310344829,0.41379310344827586,2.8106186594550007,0.074166315192952276
