threshold,selection_probability,actual_selection_cost_bits,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,gain_ci_low,gain_ci_high,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status
0,1,-0,0.071760690006158256,0.071760690006158256,1,0,0,0,10000,0,0,SUPPORTED
0.0086206896551724137,0.99997711181640625,3.3021046862992363e-05,0.071760690006158256,0.071762332515599991,1.0000228887074747,3.3021046862991963e-05,0,7.7050285069422823e-05,10000,0,0,SUPPORTED
0.017241379310344827,0.99979400634765625,0.00029721663411203295,0.071760690006158256,0.07177547529846369,1.0002060360944713,0.00029721663411199744,0,0.00069360075187940059,10000,0,0,SUPPORTED
0.025862068965517241,0.99915313720703125,0.001222282377543721,0.071760690006158256,0.071821512973230001,1.0008475805774237,0.0012222823775436074,0,0.0028536047304264793,10000,0,0,SUPPORTED
0.034482758620689655,0.99787139892578125,0.0030741952434423059,0.071760690006158256,0.07191376572513189,1.0021331416818944,0.0030741952434424334,0,0.0071833388424028099,10000,0,0,SUPPORTED
0.043103448275862072,0.99626922607421875,0.0053924342843375932,0.071760690006158256,0.071585253520651038,0.99755525642949971,-0.0035313377940760348,-0.0096262809030907091,0,10000,0,0,SUPPORTED
0.051724137931034482,0.99498748779296875,0.0072497113542254032,0.071760690006158256,0.071006534221425263,0.98949068376198346,-0.015241970791592013,-0.034863692466140142,0,10000,0,0,SUPPORTED
0.060344827586206899,0.99434661865234375,0.0081792472828839963,0.071760690006158256,0.070664823875265098,0.98472887968609113,-0.022201525418082856,-0.050122596931289523,0,10000,0,0,SUPPORTED
0.068965517241379309,0.99416351318359375,0.0084449390168536906,0.071760690006158256,0.070548337084632248,0.98310561225899629,-0.024581685342993428,-0.055628997414649967,0,10000,0,0,SUPPORTED
0.090517241379310345,0.994140625,0.0084781539243047044,0.071760690006158256,0.070530775421224018,0.98286088686119533,-0.024940861473175365,-0.05649041700075106,0,10000,0,0,SUPPORTED
0.094827586206896547,0.99413982033729553,0.0084793216498094699,0.071760690006158256,0.07053083250925464,0.98286168239466376,-0.024939693747670535,-0.056489237690663115,1.1608833603830414e-06,10000,0,0,SUPPORTED
0.099137931034482762,0.99413391947746277,0.0084878849990578757,0.071760690006158256,0.070531251157636282,0.98286751634611558,-0.024931130398422083,-0.056481768704386183,8.5131663352582803e-06,10000,0,0,SUPPORTED
0.10344827586206896,0.99411702156066895,0.0085124075985519437,0.071760690006158256,0.070532450041859748,0.98288422304477419,-0.024906607798927959,-0.056457395953887803,3.2505087193442267e-05,10000,0,0,SUPPORTED
0.10775862068965517,0.99404790997505188,0.0086127080719144399,0.071760690006158256,0.070534925396741291,0.98291871762504268,-0.024855976925541375,-0.056378298327791621,6.2600655788976335e-05,10000,0,0,SUPPORTED
0.11206896551724138,0.99392989277839661,0.0087840005524626383,0.071760690006158256,0.070542490992173898,0.98302414575612618,-0.024701241358335149,-0.056057738517078202,0.00020899540585168948,10000,0,0,SUPPORTED
0.11637931034482758,0.99360334873199463,0.0092580590192853709,0.071760690006158256,0.070554640408859032,0.98319345038076245,-0.024452789769410427,-0.055850710081428077,0.00034803609833648736,10000,0,0,SUPPORTED
0.1206896551724138,0.99320966005325317,0.0098298015128130013,0.071760690006158256,0.070578826108522397,0.98353048308852054,-0.023958327468336992,-0.055491167729215106,0.00079286498685130922,10000,0,0,SUPPORTED
