feature_id,feature_value,Nz,Ez
secret_key,"A=0.12.10.1|t=0.0.16.16|e=1.0.1.1",268435456,97580362
secret_key,"A=0.14.14.2|t=1.0.1.16|e=1.16.1.16",268435456,123281860
secret_key,"A=0.4.1.3|t=16.0.16.1|e=16.0.0.0",268435456,94521560
secret_key,"A=1.10.12.4|t=0.0.16.1|e=0.16.0.16",268435456,85736700
secret_key,"A=11.7.1.10|t=0.1.1.0|e=0.1.0.16",268435456,82725030
secret_key,"A=12.15.3.16|t=16.1.0.16|e=0.1.1.0",268435456,55663792
secret_key,"A=4.7.9.15|t=1.0.1.0|e=1.1.1.0",268435456,88526006
secret_key,"A=5.2.0.11|t=0.1.1.0|e=0.1.1.0",268435456,84939270
secret_key,"A=6.7.15.7|t=0.1.0.0|e=0.0.0.0",268435456,31774808
secret_key,"A=7.5.14.0|t=16.1.1.16|e=1.0.16.1",268435456,105440882
secret_key,"A=8.4.14.10|t=16.0.1.16|e=0.1.0.0",268435456,81015304
secret_key,"A=8.8.16.5|t=0.16.0.0|e=0.0.0.0",268435456,24722176
