rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
14091,A=4.12|t=9.2,191,289,1,1,0.5974968544649301,0.0
14092,A=4.13|t=0.0,3057,4624,1,1,0.5970248456137089,0.0
14093,A=4.13|t=0.1,6115,9248,1,1,0.5967888990859297,0.0
14094,A=4.13|t=0.10,24461,36992,1,1,0.5967299184828723,0.0
14095,A=4.13|t=0.16,24465,36992,1,1,0.5964940201802759,0.0
14096,A=4.13|t=0.7,12233,18496,1,1,0.5964350516310499,0.0
14097,A=4.13|t=0.8,24469,36992,1,1,0.5962581604436343,0.0
14098,A=4.13|t=0.9,3059,4624,1,1,0.5960812909424762,0.0
14099,A=4.13|t=1.0,6119,9248,1,1,0.5958454986659215,0.0
14100,A=4.13|t=1.1,12239,18496,1,1,0.595727616977668,0.0
14101,A=4.13|t=1.10,48957,73984,1,1,0.595698148060549,0.0
14102,A=4.13|t=1.16,48961,73984,1,1,0.5955802784111124,0.0
14103,A=4.13|t=1.7,24481,36992,1,1,0.59555081250339,0.0
14104,A=4.13|t=1.8,48965,73984,1,1,0.5954624183909589,0.0
14105,A=4.13|t=1.9,6121,9248,1,1,0.595374029694115,0.0
14106,A=4.13|t=10.0,24485,36992,1,1,0.5953151069045505,0.0
14107,A=4.13|t=10.1,48971,73984,1,1,0.5952856464121942,0.0
14108,A=4.13|t=10.16,12243,18496,1,1,0.595256186521422,0.0
14109,A=4.13|t=12.12,24487,36992,1,1,0.5951972685445333,0.0
14110,A=4.13|t=12.13,24489,36992,1,1,0.5950794398086879,0.0
14111,A=4.13|t=12.14,12245,18496,1,1,0.5950205290493383,0.0
14112,A=4.13|t=12.3,24491,36992,1,1,0.5949616206954425,0.0
14113,A=4.13|t=12.4,24493,36992,1,1,0.5948438112032252,0.0
14114,A=4.13|t=12.5,12247,18496,1,1,0.5947849100645114,0.0
14115,A=4.13|t=13.12,1531,2312,1,1,0.5946671150008911,0.0
14116,A=4.13|t=13.13,6125,9248,1,1,0.5944315537233835,0.0
14117,A=4.13|t=13.14,12251,18496,1,1,0.5943137875063564,0.0
14118,A=4.13|t=13.3,3063,4624,1,1,0.5941960309017211,0.0
14119,A=4.13|t=13.4,6127,9248,1,1,0.5939605465233498,0.0
14120,A=4.13|t=13.5,12255,18496,1,1,0.5938428187464769,0.0
14121,A=4.13|t=14.12,24511,36992,1,1,0.5937839584604325,0.0
14122,A=4.13|t=14.13,24513,36992,1,1,0.5936662450921485,0.0
14123,A=4.13|t=14.14,721,1088,1,1,0.5936073920095168,0.0
14124,A=4.13|t=14.3,24515,36992,1,1,0.5935485413276312,0.0
14125,A=4.13|t=14.4,24517,36992,1,1,0.5934308471653137,0.0
14126,A=4.13|t=14.5,12259,18496,1,1,0.5933720036844901,0.0
14127,A=4.13|t=16.0,12261,18496,1,1,0.593136653758864,0.0
14128,A=4.13|t=16.1,6131,9248,1,1,0.5930189931919115,0.0
14129,A=4.13|t=16.10,49049,73984,1,1,0.5929895795494771,0.0
14130,A=4.13|t=16.16,49053,73984,1,1,0.5928719309762216,0.0
14131,A=4.13|t=16.7,24527,36992,1,1,0.592842520331906,0.0
14132,A=4.13|t=16.8,49057,73984,1,1,0.5927542919961635,0.0
14133,A=4.13|t=16.9,12265,18496,1,1,0.5926660690557145,0.0
14134,A=4.13|t=3.12,1443,2176,1,1,0.5926072567591414,0.0
14135,A=4.13|t=3.13,24533,36992,1,1,0.5924896393580579,0.0
14136,A=4.13|t=3.14,12267,18496,1,1,0.592430834253157,0.0
14137,A=4.13|t=3.3,24535,36992,1,1,0.5923720315450891,0.0
14138,A=4.13|t=3.4,24537,36992,1,1,0.5922544333186719,0.0
14139,A=4.13|t=3.5,12269,18496,1,1,0.5921956377999318,0.0
14140,A=4.13|t=4.12,6135,9248,1,1,0.5920780539504114,0.0
14141,A=4.13|t=4.13,767,1156,1,1,0.5918429149977453,0.0
14142,A=4.13|t=4.14,12273,18496,1,1,0.5917253598914763,0.0
14143,A=4.13|t=4.3,361,544,1,1,0.5916078143631684,0.0
14144,A=4.13|t=4.4,3069,4624,1,1,0.5913727520341939,0.0
14145,A=4.13|t=4.5,12277,18496,1,1,0.5912552352304072,0.0
14146,A=4.13|t=5.12,24555,36992,1,1,0.5911964804180069,0.0
14147,A=4.13|t=5.13,24557,36992,1,1,0.591078977971217,0.0
14148,A=4.13|t=5.14,12279,18496,1,1,0.5910202303364378,0.0
14149,A=4.13|t=5.3,24559,36992,1,1,0.5909614850938093,0.0
14150,A=4.13|t=5.4,24561,36992,1,1,0.5908440017842258,0.0
14151,A=4.13|t=5.5,12281,18496,1,1,0.5907852637168812,0.0
14152,A=4.13|t=7.0,24563,36992,1,1,0.5907265280409081,0.0
14153,A=4.13|t=7.1,49127,73984,1,1,0.5906971610996251,0.0
