feature_id,feature_value,Nz,Ez
at_norm_pair,"A=118|t=559",268435456,4211712
at_norm_pair,"A=123|t=1",268435456,0
at_norm_pair,"A=131|t=133",268435456,0
at_norm_pair,"A=131|t=4",268435456,524288
at_norm_pair,"A=134|t=93",268435456,1048576
at_norm_pair,"A=135|t=139",268435456,0
at_norm_pair,"A=138|t=246",268435456,786432
at_norm_pair,"A=142|t=306",268435456,818048
at_norm_pair,"A=148|t=137",268435456,131072
at_norm_pair,"A=155|t=154",268435456,1277952
at_norm_pair,"A=155|t=262",268435456,147456
at_norm_pair,"A=157|t=159",268435456,0
at_norm_pair,"A=158|t=481",536870912,2207744
at_norm_pair,"A=159|t=2",268435456,0
at_norm_pair,"A=161|t=3",268435456,0
at_norm_pair,"A=166|t=498",268435456,2826240
at_norm_pair,"A=170|t=370",268435456,786432
at_norm_pair,"A=172|t=211",268435456,1650944
at_norm_pair,"A=174|t=202",268435456,2031616
at_norm_pair,"A=178|t=402",268435456,131072
at_norm_pair,"A=180|t=449",268435456,6585600
at_norm_pair,"A=186|t=490",268435456,0
at_norm_pair,"A=187|t=115",268435456,428032
at_norm_pair,"A=190|t=310",268435456,3723264
at_norm_pair,"A=194|t=242",268435456,393216
at_norm_pair,"A=195|t=233",268435456,1179648
at_norm_pair,"A=198|t=348",268435456,671744
at_norm_pair,"A=199|t=323",268435456,7478400
at_norm_pair,"A=201|t=2",268435456,0
at_norm_pair,"A=204|t=252",268435456,2973568
at_norm_pair,"A=212|t=235",268435456,399616
at_norm_pair,"A=212|t=409",268435456,229376
at_norm_pair,"A=215|t=221",268435456,0
at_norm_pair,"A=230|t=207",268435456,5883032
at_norm_pair,"A=230|t=296",268435456,393216
at_norm_pair,"A=231|t=389",268435456,4112384
at_norm_pair,"A=236|t=345",268435456,1764864
at_norm_pair,"A=241|t=241",268435456,0
at_norm_pair,"A=242|t=241",268435456,917504
at_norm_pair,"A=242|t=345",268435456,832512
at_norm_pair,"A=243|t=295",268435456,2539520
at_norm_pair,"A=249|t=234",268435456,2792256
at_norm_pair,"A=250|t=321",268435456,98304
at_norm_pair,"A=250|t=446",268435456,0
at_norm_pair,"A=254|t=374",268435456,466944
at_norm_pair,"A=255|t=402",268435456,3941376
at_norm_pair,"A=258|t=274",268435456,0
at_norm_pair,"A=259|t=244",268435456,393216
at_norm_pair,"A=259|t=426",268435456,2007040
at_norm_pair,"A=263|t=306",268435456,0
at_norm_pair,"A=265|t=388",268435456,2758400
at_norm_pair,"A=266|t=378",268435456,1048576
at_norm_pair,"A=267|t=534",268435456,24576
at_norm_pair,"A=267|t=66",268435456,5524416
at_norm_pair,"A=276|t=274",268435456,196608
at_norm_pair,"A=280|t=330",268435456,1081344
at_norm_pair,"A=281|t=446",268435456,196608
at_norm_pair,"A=282|t=370",268435456,1351808
at_norm_pair,"A=283|t=338",268435456,1867776
at_norm_pair,"A=283|t=419",268435456,720896
at_norm_pair,"A=284|t=255",268435456,8996864
at_norm_pair,"A=285|t=317",268435456,2492544
at_norm_pair,"A=292|t=318",268435456,0
at_norm_pair,"A=293|t=528",268435456,1343488
at_norm_pair,"A=294|t=105",268435456,557056
at_norm_pair,"A=294|t=267",268435456,0
at_norm_pair,"A=297|t=329",268435456,2537472
at_norm_pair,"A=298|t=154",268435456,4326144
at_norm_pair,"A=298|t=315",268435456,4755456
