feature_id,feature_value,Nz,Ez
pk,"A=4.10.3.13|t=23.28.2.21",268435456,557056
pk,"A=4.12.4.2|t=16.10.17.23",268435456,6585600
pk,"A=4.14.8.4|t=25.5.14.9",268435456,0
pk,"A=4.21.19.15|t=25.19.26.12",268435456,3876608
pk,"A=4.3.10.23|t=28.0.28.28",268435456,0
pk,"A=4.7.19.12|t=14.1.25.20",268435456,4134016
pk,"A=4.9.17.28|t=4.10.18.27",268435456,917504
pk,"A=5.25.27.11|t=16.11.17.21",268435456,2826240
pk,"A=6.15.19.9|t=16.10.5.19",268435456,1474560
pk,"A=6.17.12.20|t=26.11.24.7",268435456,262144
pk,"A=6.24.16.5|t=6.15.1.16",268435456,3941376
pk,"A=6.9.15.15|t=6.10.15.15",268435456,0
pk,"A=7.12.25.12|t=9.5.11.21",268435456,1638400
pk,"A=7.16.4.3|t=15.5.7.24",268435456,2539520
pk,"A=7.19.17.11|t=24.5.8.24",268435456,3461120
pk,"A=7.25.20.18|t=7.4.0.1",268435456,5524416
pk,"A=7.28.17.14|t=1.13.16.8",268435456,0
pk,"A=7.3.3.21|t=4.2.21.22",268435456,0
pk,"A=8.11.26.13|t=14.13.21.3",268435456,0
pk,"A=8.21.7.26|t=14.10.5.13",268435456,0
pk,"A=8.3.17.8|t=14.20.12.5",268435456,196608
pk,"A=8.5.1.16|t=11.19.26.14",268435456,2007040
pk,"A=8.5.13.26|t=10.18.16.12",268435456,24576
pk,"A=9.12.12.3|t=25.15.24.9",268435456,2028544
pk,"A=9.15.28.13|t=5.22.24.2",268435456,2334720
pk,"A=9.19.8.3|t=13.13.6.0",268435456,466944
pk,"A=9.5.8.12|t=11.12.0.21",268435456,1079296
