rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
61,-6:8:1;11:-5:1;12:-13:1;12:6:1;,61,128,2831503232,1469731987,1.0692626624371138,0.946015080212135
62,-9:10:1;-2:4:1;3:14:1;8:-13:1;,31,64,1423255488,746912977,1.0458036896131249,0.9301825935050249
63,-12:-11:1;-1:-2:1;4:4:1;9:10:1;,63,128,2861191040,1517919921,1.0227200765000835,0.9145201464491105
64,-3:2:1;7:-2:1;9:-11:1;14:1:1;,1,2,44915006,24093967,1.0,0.8985255780100968
65,-6:9:1;-3:-8:1;1:-2:1;14:-14:1;,65,128,2887880576,1566107855,0.9776321869715455,0.8828275111197195
66,-10:5:1;1:-14:1;4:7:1;5:6:1;,33,64,1450484672,795100911,0.9556058806415466,0.8673251717691537
67,-10:7:1;-3:12:1;-2:-2:1;5:-7:1;,67,128,2913552256,1614295789,0.9339108095422276,0.8518742371024504
68,-6:14:1;-5:7:1;-3:2:1;10:-11:1;,17,32,731533792,409597439,0.9125371587496606,0.8367178138834248
69,-7:9:1;4:0:1;7:13:1;13:-13:1;,69,128,979223168,554161241,0.891475543221831,0.821331882229838
70,-4:-14:1;-4:-2:1;13:13:1;14:-3:1;,35,64,1474261952,843288845,0.8707169830550335,0.8058941145401327
71,-14:1:1;-1:-13:1;-1:13:1;0:-3:1;,71,128,2959271808,1710671657,0.8502528804953179,0.7906793353029152
72,3:2:1;4:-6:1;10:-1:1;13:-8:1;,9,16,371023088,216845703,0.8300749985576876,0.7748401104348863
73,-11:-1:1;-3:-1:1;-1:-1:1;0:-1:1;,73,128,2976573312,1758859591,0.8101754411199827,0.7590121102116452
74,-8:2:1;-4:-7:1;-1:-1:1;2:4:1;,37,64,1492218816,891476779,0.7905466343710502,0.7431899806029327
75,-10:13:1;3:0:1;8:6:1;9:13:1;,75,128,997302912,602349175,0.7711813095041191,0.7274317191964823
76,1:14:2;12:-14:1;13:11:1;,19,32,749812192,457785373,0.7520724865564145,0.711857917004773
77,-7:5:1;1:-7:1;4:-5:1;11:4:1;,77,128,3006097280,1855235459,0.7332134593050986,0.6962893974124913
78,-13:14:1;2:-7:1;9:-2:1;11:-3:1;,39,64,1506376640,939664713,0.7145977811377516,0.6808645551068567
79,-13:5:1;3:-5:1;3:4:1;5:13:1;,79,128,3019147136,1903423393,0.6962192518228971,0.6655445603042021
80,-11:9:1;-8:-12:1;0:-4:1;3:1:1;,5,8,189089912,120469835,0.6780719051126377,0.6504004485739222
81,-13:-12:1;-8:-8:1;-5:-6:1;1:0:1;,81,128,3031730048,1951611327,0.6601499971153753,0.6354755367558196
82,-13:6:1;-5:14:1;0:0:1;6:8:1;,41,64,1519010752,987852647,0.6424479953819163,0.6207643182674484
83,-13:12:1;-6:-13:1;-6:-2:1;11:-11:1;,83,128,3043264384,1999799261,0.6249605686530753,0.6057644834687659
84,-9:-6:1;-8:-13:1;-5:-3:1;13:11:1;,21,32,762061280,505973307,0.6076825772212398,0.5908457380411601
85,-12:11:1;-9:7:1;6:-3:1;12:-5:1;,85,128,3052439424,2047987195,0.5906090638622983,0.5757559701096505
86,-13:-5:1;-4:11:1;3:14:1;11:-9:1;,43,64,1528054720,1036040581,0.5737352452979021,0.5606156940405754
87,-8:-8:1;0:-7:1;2:14:1;12:10:1;,87,128,3059779456,2096175129,0.5570565041512717,0.5456684148641515
88,-12:12:1;3:-9:1;8:5:1;8:14:1;,11,16,34805968,24093967,0.5405683813627028,0.530662750189033
89,-7:-7:1;-3:1:1;0:2:1;3:-4:1;,89,128,3066070912,2144363063,0.5242665690336022,0.5158418742198222
90,1:8:1;5:-5:1;9:8:1;13:11:1;,45,64,306921664,216845703,0.5081469036703253,0.5012016265838523
91,-11:-11:1;3:-11:1;3:2:1;4:-4:1;,91,128,236275072,168657769,0.49220535980130375,0.4863686512797317
92,-11:0:1;-5:-10:1;-1:-6:1;-1:-1:1;,23,32,768418272,554161241,0.4764380439429871,0.47158601509705617
93,-14:-9:1;-14:-6:1;-8:14:1;6:14:1;,93,128,3075770240,2240738931,0.4608411888919686,0.45697316810865596
94,-7:14:1;-2:-11:1;5:-6:1;10:7:1;,47,64,1538933696,1132416449,0.4454111483223626,0.442526464904185
95,-11:-14:1;-10:-5:1;-5:6:1;-2:8:1;,95,128,3079440256,2288926865,0.43014439166905216,0.4279967716792016
96,-14:3:1;-10:6:1;-6:4:1;9:13:1;,3,4,96281660,72281901,0.4150374992788438,0.41362656634872785
97,-5:1:1;-4:1:1;-3:10:1;6:0:1;,97,128,3082585984,2337114799,0.4000871578128723,0.39941253595807474
98,-12:3:1;-11:1:1;-7:4:1;13:5:1;,49,64,1541555136,1180604383,0.38529015588479176,0.3848608875693238
99,5:-10:1;13:-11:1;13:1:1;14:-2:1;,99,128,3083634560,2385302733,0.37064337992039037,0.3704594234250239
100,-3:12:1;5:-11:1;8:10:1;13:-13:1;,25,32,32,25,0.3561438102252753,0.35614381022527536
101,-10:-1:1;-1:-1:1;0:0:1;10:0:1;,101,128,128,101,0.34178851724820525,0.3417885172482053
102,-10:0:1;-5:-1:1;3:1:1;5:0:1;,51,64,64,51,0.3275746580285044,0.3275746580285044
103,-12:-13:1;-1:13:1;7:1:1;14:8:1;,103,128,128,103,0.31349947281678164,0.3134994728167815
104,-12:5:1;-9:-14:1;3:-12:1;4:9:1;,13,16,16,13,0.2995602818589078,0.29956028185890793
105,-13:-1:1;-10:-1:1;2:0:1;6:0:1;,105,128,128,105,0.28575448233387735,0.2857544823338775
106,-14:-14:1;-10:10:1;-3:3:1;9:-9:1;,53,64,64,53,0.2720795454368008,0.27207954543680074
107,-14:-14:2;6:6:1;9:10:1;,107,128,128,107,0.25853301359885306,0.25853301359885295
108,-14:-1:1;1:1:1;9:0:1;13:0:1;,27,32,32,27,0.24511249783653147,0.24511249783653138
109,-14:0:1;-5:1:1;-1:-1:1;9:1:1;,109,128,128,109,0.23181567522307364,0.23181567522307372
110,-14:1:1;6:1:1;11:0:1;12:1:1;,55,64,64,55,0.2186402864753404,0.21864028647534034
111,-14:3:1;-12:-9:1;-12:2:1;3:-9:1;,111,128,128,111,0.20558413364989403,0.20558413364989403
112,-14:8:1;-4:5:1;6:11:1;11:8:1;,7,8,8,7,0.19264507794239588,0.19264507794239583
113,-2:-1:1;0:-1:1;11:-12:1;13:11:1;,113,128,128,113,0.1798210375848123,0.17982103758481227
114,-2:-7:1;-1:-3:1;7:-9:1;9:0:1;,57,64,64,57,0.16710998583525832,0.16710998583525824
115,-3:-8:1;8:14:1;11:13:1;13:3:1;,115,128,128,115,0.1545099490556248,0.1545099490556248
116,-4:-12:1;0:11:1;11:-3:1;11:0:1;,29,32,32,29,0.14201900487242788,0.14201900487242786
117,-6:-10:1;-2:6:1;9:-13:1;14:-2:1;,117,128,128,117,0.12963528041659547,0.1296352804165956
118,-6:-1:1;3:0:1;4:-1:1;10:-1:1;,59,64,64,59,0.11735695063815874,0.11735695063815874
119,-6:1:1;-1:-1:1;-1:0:1;1:0:1;,119,128,128,119,0.10518223669205648,0.10518223669205642
120,-7:-7:1;-2:-3:1;2:1:1;10:10:1;,15,16,16,15,0.09310940439148147,0.09310940439148145
121,-7:6:1;-3:-11:1;3:-7:1;14:10:1;,121,128,128,121,0.08113676272540549,0.08113676272540553
122,-8:-12:1;11:-14:1;12:-7:1;14:12:1;,61,64,64,61,0.06926266243711372,0.06926266243711379
123,-8:-7:1;3:-8:1;3:2:1;7:4:1;,123,128,128,123,0.057485494660760125,0.05748549466076028
124,-8:10:1;-3:13:1;7:5:1;8:14:1;,31,32,32,31,0.04580368961312479,0.045803689613124754
125,-8:7:1;7:-8:1;8:-8:1;8:8:1;,125,128,128,125,0.034215715337912955,0.03421571533791298
126,-9:0:1;-5:1:1;1:0:1;4:0:1;,63,64,64,63,0.02272007650008353,0.02272007650008345
127,-9:2:1;3:-6:1;5:10:1;10:-9:1;,127,128,128,127,0.011315313227834146,0.011315313227834127
128,4:-4:1;4:9:1;8:14:1;14:5:1;,1,1,1,1,-0.0,0.0
