side,symbol,normalized_value,absolute_value,squared_value,boundary_distance,weight,probability,absolute_value_intercept,absolute_value_slope,absolute_value_r2,absolute_value_weighted_sse,squared_value_intercept,squared_value_slope,squared_value_r2,squared_value_weighted_sse,boundary_distance_intercept,boundary_distance_slope,boundary_distance_r2,boundary_distance_weighted_sse
u,0,0,0,0,0.5,-0.17793956209042083,0.38235294117647056,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,1,0.11764705882352941,0.11764705882352941,0.01384083044982699,0.44117647058823528,-0.17793956209042083,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,2,0.23529411764705882,0.23529411764705882,0.05536332179930796,0.38235294117647056,-0.17793956209042083,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,3,0.35294117647058826,0.35294117647058826,0.12456747404844293,0.3235294117647059,-0.012720192035576647,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,4,-0.47058823529411764,0.47058823529411764,0.22145328719723184,0.26470588235294118,0.13717505730280971,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,5,-0.35294117647058826,0.35294117647058826,0.12456747404844293,0.3235294117647059,0.13717505730280971,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,6,-0.23529411764705882,0.23529411764705882,0.05536332179930796,0.38235294117647056,0.31880254097804966,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
u,7,-0.11764705882352941,0.11764705882352941,0.01384083044982699,0.44117647058823528,0.31880254097804966,0.088235294117647065,-0.12994757399805029,0.66141879631771239,0.29666529340313152,0.027120976394116453,-0.087794765703130467,1.2599279948572433,0.19565627885277626,0.031015940020279912,0.53147122231966237,-1.3228375926354254,0.29666529340313152,0.027120976394116453
v,0,0,0,0,0.5,-0.072425804765479343,0.38321461397058826,0.092031044171059437,-0.80554051574580698,0.16750560918411406,0.12942960860433037,0.125022976643831,-2.3579788428338433,0.33483833044978617,0.1034140475878919,-1.5190499873205539,3.2221620629832266,0.16750560918411428,0.12942960860433034
v,1,0.23529411764705882,0.23529411764705882,0.05536332179930796,0.44117647058823528,-0.072425804765479343,0.13332950367647059,0.092031044171059437,-0.80554051574580698,0.16750560918411406,0.12942960860433037,0.125022976643831,-2.3579788428338433,0.33483833044978617,0.1034140475878919,-1.5190499873205539,3.2221620629832266,0.16750560918411428,0.12942960860433034
v,2,-0.47058823529411764,0.47058823529411764,0.22145328719723184,0.38235294117647056,-0.47062978388746479,0.34329044117647056,0.092031044171059437,-0.80554051574580698,0.16750560918411406,0.12942960860433037,0.125022976643831,-2.3579788428338433,0.33483833044978617,0.1034140475878919,-1.5190499873205539,3.2221620629832266,0.16750560918411428,0.12942960860433034
v,3,-0.23529411764705882,0.23529411764705882,0.05536332179930796,0.44117647058823528,0.7778887115123797,0.14016544117647059,0.092031044171059437,-0.80554051574580698,0.16750560918411406,0.12942960860433037,0.125022976643831,-2.3579788428338433,0.33483833044978617,0.1034140475878919,-1.5190499873205539,3.2221620629832266,0.16750560918411428,0.12942960860433034
