dataset,statistic,curve_or_frozen,target_s,threshold,selection_probability,actual_selection_cost_bits,baseline_failure_probability,conditional_failure_probability,amplification,gain_bits,gain_ci_low,gain_ci_high,bootstrap_valid_replicates,bootstrap_zero_support_replicates,bootstrap_zero_support_fraction,support_status
e0,T_marg,curve,NA,1.0966912524904293,0.0029844264258150413,8.3883305967715565,0.081375808451827417,0.041329240730830302,0.50788116907368419,-0.97743711135921463,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,1.0058775106528093,0.0062295722301443559,7.3266511844365194,0.081375808451827417,0.070230956669138686,0.86304465670179831,-0.21249288387780874,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.93092988598361615,0.0080919232747959022,6.9493016439053168,0.081375808451827417,0.071756212064119695,0.88178800836857674,-0.1814962373313215,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.91506376881518947,0.0088480253120607165,6.8204287718819359,0.081375808451827417,0.087021480689160297,1.0693777714131711,0.096771593626536478,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.84832020095619409,0.017630276795489567,5.8258010646149074,0.081375808451827417,0.11180627149213537,1.3739497477106122,0.45832923846860441,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.84011614414599622,0.018643059120046226,5.7452175800396592,0.081375808451827417,0.11886403977368873,1.460680293505821,0.54664044272261259,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.76516851947680309,0.018944407004386085,5.7220842082928902,0.081375808451827417,0.12195229863554115,1.4986308702264268,0.58364507489756534,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.75750645911857417,0.022890533130474157,5.4491051254947429,0.081375808451827417,0.13053417815241572,1.6040907074943398,0.6817557250547932,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.68255883444938092,0.025332005378696745,5.3028948989311226,0.081375808451827417,0.13367398885856865,1.6426747875285386,0.71604688755487467,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.67153399435149985,0.035493791309607482,4.8162895040365461,0.081375808451827417,0.13524192672655519,1.6619426497816641,0.73287059853235803,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.59994914942195887,0.041547795068021462,4.5890842742433184,0.081375808451827417,0.14728964035016656,1.8099929592387227,0.85598408532442805,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.58072025251387993,0.059178527251246893,4.0787823964831897,0.081375808451827417,0.14037473157582764,1.7250179659834188,0.78661138757208648,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.50577262784468668,0.068464338573205011,3.8685034711967692,0.081375808451827417,0.13513113592265955,1.6605811787744515,0.73168825180937924,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.4899065106762599,0.073738045345953185,3.7614470159125037,0.081375808451827417,0.14055962319690474,1.7272900370644275,0.78851035264211211,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.47243200479050712,0.077081053314736969,3.6974799035385386,0.081375808451827417,0.14536945913192117,1.7863964966686201,0.8370523269829635,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.42316294281726463,0.11064979526823367,3.1759273131183181,0.081375808451827417,0.15323139586290285,1.8830091986565303,0.91304004765460767,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.41495888600706671,0.11712271614470697,3.0939071788178838,0.081375808451827417,0.15291814471758239,1.8791597604600927,0.9100877255262676,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.38161826295288714,0.12573269246771263,2.9915682730632382,0.081375808451827417,0.15183680621005147,1.8658715544428086,0.89984967528587767,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.34001126133787352,0.12757985072152425,2.97052759932326,0.081375808451827417,0.15171099221392845,1.8643254684681605,0.89865374344504345,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.3323492009796446,0.15183700244731968,2.7194046786925328,0.081375808451827417,0.1597896152111172,1.9636009552606648,0.9735017736649838,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.30667063828369395,0.15589510775767396,2.6813524402608206,0.081375808451827417,0.15875983289013509,1.9509463059174057,0.96417407253809184,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.29080452111526717,0.15917297548076273,2.6513326801704866,0.081375808451827417,0.15997977756398427,1.9659377965957605,0.97521767469857035,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.25740157631045146,0.17284997854265788,2.5324076703810801,0.081375808451827417,0.15943202346413698,1.9592066302913234,0.97026956135029141,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.24637673621257034,0.18396094431101656,2.4425285863745341,0.081375808451827417,0.15665912225756387,1.9251313779610857,0.94495690391943565,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.22406095325627187,0.19761060430929323,2.3392677270440463,0.081375808451827417,0.16079119740501968,1.975909062706324,0.98251655127402704,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.21585689644607398,0.20132749220904181,2.312383902432138,0.081375808451827417,0.16026713927135913,1.9694690881778893,0.97780677329496535,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.17479189128302935,0.22710338843322542,2.1385788633500828,0.081375808451827417,0.16926329907550686,2.0800198768618907,1.0565973149591854,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.15556299437495036,0.25020607285021085,1.9988112887387124,0.081375808451827417,0.16235561722508635,1.995133692849234,0.99648542391535111,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.14090927177688081,0.25117920344263622,1.9932110746554554,0.081375808451827417,0.1621962043675943,1.9931747217431415,0.99506818240165906,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.1332472114186519,0.26425843420325679,1.9199785767740847,0.081375808451827417,0.16559113601605985,2.0348938974177559,1.0249535720542196,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.080615369705757153,0.2759397830105158,1.8575746258206673,0.081375808451827417,0.16193712517505304,1.9899909844940717,0.99276189476130783,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.064749252537330368,0.28742093940919661,1.7987629249453865,0.081375808451827417,0.15786600627327796,1.9399623705948306,0.95602866876150849,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.058299586749458718,0.2941581633676707,1.7653360209457312,0.081375808451827417,0.158005927626897,1.9416818171512584,0.95730680609831764,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,0.047274746651577604,0.30473601529342492,1.7143680795538028,0.081375808451827417,0.15564411839405171,1.9126583361219618,0.93557918377002902,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.0019943153216649273,0.34325302678408509,1.5426556528627313,0.081375808451827417,0.1511441337518856,1.8573595350682064,0.89325310943247471,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.01019837213186281,0.35497908938714789,1.4941940520333745,0.081375808451827417,0.1477775908854172,1.8159892196081602,0.86075563827639967,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.024310098277963377,0.36714195462659155,1.4455901090981345,0.081375808451827417,0.15250606306231956,1.8740958272949091,0.90619472355663055,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.043538995186042373,0.39088581177602588,1.3551808757036354,0.081375808451827417,0.14790492020847754,1.8175539269269909,0.86199816962270293,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.085145996801055987,0.39388595897846157,1.3441501053870226,0.081375808451827417,0.14719121893092874,1.8087834914483523,0.85501972995623665,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.092808057159284904,0.43411202744216654,1.2038607006522677,0.081375808451827417,0.14162506899709396,1.740382942934849,0.79940478256112468,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.11848661985523556,0.44551231621870946,1.1664627791849551,0.081375808451827417,0.13974972091893534,1.7173374197770819,0.78017352566137177,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.13435273702366235,0.46090381450719076,1.1174623872088192,0.081375808451827417,0.13625020533883256,1.6743330472653861,0.74358652779714041,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.15182724290941513,0.4642482678370492,1.1070315675754785,0.081375808451827417,0.13558158213249646,1.6661165610754898,0.73648933479898582,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.16775568182847808,0.48468627401701719,1.0448768679390081,0.081375808451827417,0.13243153270050589,1.6274066607756319,0.70257480059660826,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.20109630488265764,0.52371658008403843,0.93314181580874844,0.081375808451827417,0.12918196778466243,1.5874738480925217,0.66673282524669264,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.20930036169285554,0.53787253884708175,0.89466376106396728,0.081375808451827417,0.1266858290103047,1.5567996364091394,0.63858327828999162,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.2426409847470351,0.54458512566906359,0.87677051650222682,0.081375808451827417,0.12590196802719308,1.5471670318547326,0.62962895827380205,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.25036536685590016,0.6403323836805086,0.64310712132277092,0.081375808451827417,0.11291166164658567,1.3875335163450542,0.47252262067412498,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.28424798636204873,0.6436301300682411,0.63569623078595006,0.081375808451827417,0.11261209136453992,1.3838521976860441,0.46868986417970981,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.29191004672027765,0.69181411901559797,0.53154363736916754,0.081375808451827417,0.10879992303989661,1.3370057405242692,0.41900565975296811,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.3175886094162283,0.69504870510431305,0.52481401755415769,0.081375808451827417,0.10861334575139769,1.3347129548420311,0.41652950734116295,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.33345472658465508,0.70039086523353022,0.51376782717560887,0.081375808451827417,0.10787725444491671,1.325667375812033,0.40671883316968976,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.36685767138947079,0.72292356260095092,0.46808498116363795,0.081375808451827417,0.10583778753561257,1.3006050514172904,0.37918293218199794,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.4001982944436504,0.73470431133125069,0.44476435433541173,0.081375808451827417,0.10495164052859245,1.2897154882426929,0.36705284163903962,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.40840235125384827,0.73914219021384686,0.43607616978007363,0.081375808451827417,0.10449243839351513,1.2840725073149009,0.36072666896349082,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.44946735641689289,0.90190390484555782,0.14895436804543105,0.081375808451827417,0.088911375557040997,1.092602055187869,0.12776804186496288,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.48334997592304146,0.90286499736218306,0.14741781282559621,0.081375808451827417,0.088885033503053559,1.0922783465269219,0.12734054671887451,NA,NA,NA,NA,NA,exact-curve
e0,T_marg,curve,NA,-0.49101203628127033,0.91850115106180052,0.12264656557021407,0.081375808451827417,0.087848417455501315,1.0795397198112697,0.11041632582501998,NA,NA,NA,NA,NA,exact-curve
