dataset,statistic,public_or_diagnostic,E0_orientation,auc,auc_ci_low,auc_ci_high,auc_minus_baseline,auc_minus_baseline_ci_low,auc_minus_baseline_ci_high,auc_retained_fraction,margin_rank_correlation,margin_corr_ci_low,margin_corr_ci_high,degenerate_on_e0
e0,T_marg,public,1,0.71221603354155616,0.71221603354155616,0.71221603354155616,0,0,0,1,-0.39096410452617986,-0.39096410452617986,-0.39096410452617986,False
e0,S_u2,public,1,0.59962027147716102,0.59962027147716102,0.59962027147716102,-0.11259576206439514,-0.11259576206439514,-0.11259576206439514,0.46942858093544271,-0.36207275012064843,-0.36207275012064843,-0.36207275012064843,False
e0,S_v2,public,-1,0.54750323928169642,0.54750323928169642,0.54750323928169642,-0.16471279425985974,-0.16471279425985974,-0.16471279425985974,0.22384378074050815,0.085995745446873093,0.085995745446873093,0.085995745446873093,False
e0,S_2sum,public,-1,0.51668938679731879,0.51668938679731879,0.51668938679731879,-0.19552664674423736,-0.19552664674423736,-0.19552664674423736,0.078643382965927863,0.18855634659264844,0.18855634659264844,0.18855634659264844,False
e0,S_2max,public,-1,0.53272222164725069,0.53272222164725069,0.53272222164725069,-0.17949381189430547,-0.17949381189430547,-0.17949381189430547,0.15419297543718827,0.11432595431550835,0.11432595431550835,0.11432595431550835,False
e0,S_u1,public,1,0.60063573373269319,0.60063573373269319,0.60063573373269319,-0.11158029980886297,-0.11158029980886297,-0.11158029980886297,0.47421362115406185,-0.36648559346127846,-0.36648559346127846,-0.36648559346127846,False
e0,S_v1,public,-1,0.52645868423353048,0.52645868423353048,0.52645868423353048,-0.18575734930802568,-0.18575734930802568,-0.18575734930802568,0.12467806410277356,0.14000326329478724,0.14000326329478724,0.14000326329478724,False
e0,S_1sum,public,1,0.54448946246509855,0.54448946246509855,0.54448946246509855,-0.16772657107645761,-0.16772657107645761,-0.16772657107645761,0.20964232401594962,-0.32468438492846385,-0.32468438492846385,-0.32468438492846385,False
e0,E_u_1_4,public,1,0.52617860675637351,0.52617860675637351,0.52617860675637351,-0.18603742678518265,-0.18603742678518265,-0.18603742678518265,0.12335828881302324,-0.27882682522228963,-0.27882682522228963,-0.27882682522228963,False
e0,E_v_1_4,public,-1,0.6047480800039079,0.6047480800039079,0.6047480800039079,-0.10746795353764826,-0.10746795353764826,-0.10746795353764826,0.49359173412029739,-0.098585191714478645,-0.098585191714478645,-0.098585191714478645,False
e0,E_sum_1_4,public,-1,0.56706081671024355,0.56706081671024355,0.56706081671024355,-0.14515521683131261,-0.14515521683131261,-0.14515521683131261,0.31600259222219279,0.110803490048564,0.110803490048564,0.110803490048564,False
e0,E_u_3_8,public,1,0.52660491240232266,0.52660491240232266,0.52660491240232266,-0.1856111211392335,-0.1856111211392335,-0.1856111211392335,0.12536711745256929,-0.074017317311602784,-0.074017317311602784,-0.074017317311602784,False
e0,E_v_3_8,public,-1,0.6047480800039079,0.6047480800039079,0.6047480800039079,-0.10746795353764826,-0.10746795353764826,-0.10746795353764826,0.49359173412029739,-0.098585191714478645,-0.098585191714478645,-0.098585191714478645,False
e0,E_sum_3_8,public,-1,0.57463017135354943,0.57463017135354943,0.57463017135354943,-0.13758586218800672,-0.13758586218800672,-0.13758586218800672,0.35167074847309004,-0.055231700022274711,-0.055231700022274711,-0.055231700022274711,False
e0,B_u_mean,public,-1,0.60063573373269319,0.60063573373269319,0.60063573373269319,-0.11158029980886297,-0.11158029980886297,-0.11158029980886297,0.47421362115406185,-0.36648559346127846,-0.36648559346127846,-0.36648559346127846,False
e0,B_v_mean,public,1,0.52645868423353048,0.52645868423353048,0.52645868423353048,-0.18575734930802568,-0.18575734930802568,-0.18575734930802568,0.12467806410277356,0.14000326329478724,0.14000326329478724,0.14000326329478724,False
e0,B_sum,public,-1,0.57599826098697238,0.57599826098697238,0.57599826098697238,-0.13621777255458378,-0.13621777255458378,-0.13621777255458378,0.35811743212178354,-0.37863040058025726,-0.37863040058025726,-0.37863040058025726,False
e0,B_u_low_1_4,public,1,0.5,0.5,0.5,-0.21221603354155616,-0.21221603354155616,-0.21221603354155616,0,NA,NA,NA,True
e0,B_v_low_1_4,public,1,0.5,0.5,0.5,-0.21221603354155616,-0.21221603354155616,-0.21221603354155616,0,NA,NA,NA,True
e0,B_sum_low_1_4,public,1,0.5,0.5,0.5,-0.21221603354155616,-0.21221603354155616,-0.21221603354155616,0,NA,NA,NA,True
e0,B_u_low_3_8,public,1,0.52617860675637351,0.52617860675637351,0.52617860675637351,-0.18603742678518265,-0.18603742678518265,-0.18603742678518265,0.12335828881302324,-0.27882682522228963,-0.27882682522228963,-0.27882682522228963,False
e0,B_v_low_3_8,public,1,0.5,0.5,0.5,-0.21221603354155616,-0.21221603354155616,-0.21221603354155616,0,NA,NA,NA,True
e0,B_sum_low_3_8,public,1,0.52617860675637351,0.52617860675637351,0.52617860675637351,-0.18603742678518265,-0.18603742678518265,-0.18603742678518265,0.12335828881302324,-0.27882682522228963,-0.27882682522228963,-0.27882682522228963,False
e0,C_u,public,-1,0.59771241572036959,0.59771241572036959,0.59771241572036959,-0.11450361782118657,-0.11450361782118657,-0.11450361782118657,0.46043842253434419,-0.42483612982832603,-0.42483612982832603,-0.42483612982832603,False
e0,C_v,public,-1,0.58004936765382287,0.58004936765382287,0.58004936765382287,-0.13216666588773329,-0.13216666588773329,-0.13216666588773329,0.37720697309210427,-0.31523670072029097,-0.31523670072029097,-0.31523670072029097,False
e0,C_sum,public,-1,0.62754496112032299,0.62754496112032299,0.62754496112032299,-0.084671072421233173,-0.084671072421233173,-0.084671072421233173,0.60101472538052658,-0.47475142350356331,-0.47475142350356331,-0.47475142350356331,False
e0,S_C,public-secondary,1,0.66229957804825257,0.66229957804825257,0.66229957804825257,-0.049916455493303591,-0.049916455493303591,-0.049916455493303591,0.76478471178508312,-0.19073418168305248,-0.19073418168305248,-0.19073418168305248,False
e1a,T_marg,public,1,0.59941773570050161,0.59941773570050161,0.59941773570050161,0,0,0,1,-0.26968939630219119,-0.26968939630219119,-0.26968939630219119,False
e1a,S_u2,public,1,0.62242806786142224,0.62242806786142224,0.62242806786142224,0.023010332160920632,0.023010332160920632,0.023010332160920632,1.2314509780250862,-0.39375235166835348,-0.39375235166835348,-0.39375235166835348,False
e1a,S_v2,public,-1,0.54798163780651987,0.54798163780651987,0.54798163780651987,-0.051436097893981736,-0.051436097893981736,-0.051436097893981736,0.48262654010815276,-0.09855333189918293,-0.09855333189918293,-0.09855333189918293,False
e1a,S_2sum,public,-1,0.48170174194898024,0.48170174194898024,0.48170174194898024,-0.11771599375152136,-0.11771599375152136,-0.11771599375152136,-0.18405426277403572,0.087148959254321812,0.087148959254321812,0.087148959254321812,False
e1a,S_2max,public,-1,0.51299478732332693,0.51299478732332693,0.51299478732332693,-0.08642294837717468,-0.08642294837717468,-0.08642294837717468,0.13070894475482772,-0.035805261793682416,-0.035805261793682416,-0.035805261793682416,False
e1a,S_u1,public,1,0.6196775098049121,0.6196775098049121,0.6196775098049121,0.020259774104410488,0.020259774104410488,0.020259774104410488,1.2037843042960017,-0.39436459830411147,-0.39436459830411147,-0.39436459830411147,False
e1a,S_v1,public,-1,0.49101474616343643,0.49101474616343643,0.49101474616343643,-0.10840298953706518,-0.10840298953706518,-0.10840298953706518,-0.090378781746064576,0.092364907025247925,0.092364907025247925,0.092364907025247925,False
e1a,S_1sum,public,1,0.57947448542775104,0.57947448542775104,0.57947448542775104,-0.019943250272750568,-0.019943250272750568,-0.019943250272750568,0.79939947201342321,-0.29559036840792502,-0.29559036840792502,-0.29559036840792502,False
e1a,E_u_1_4,public,1,0.62339432461177269,0.62339432461177269,0.62339432461177269,0.023976588911271079,0.023976588911271079,0.023976588911271079,1.2411701367198822,-0.33266682466417152,-0.33266682466417152,-0.33266682466417152,False
e1a,E_v_1_4,public,-1,0.43222841782367927,0.43222841782367927,0.43222841782367927,-0.16718931787682234,-0.16718931787682234,-0.16718931787682234,-0.68168503032984273,0.29035575338187319,0.29035575338187319,0.29035575338187319,False
e1a,E_sum_1_4,public,-1,0.36782817503862014,0.36782817503862014,0.36782817503862014,-0.23158956066188147,-0.23158956066188147,-0.23158956066188147,-1.3294592160049867,0.40511865923225715,0.40511865923225715,0.40511865923225715,False
e1a,E_u_3_8,public,1,0.5450917612330558,0.5450917612330558,0.5450917612330558,-0.054325974467445803,-0.054325974467445803,-0.054325974467445803,0.45355852167963123,-0.10061550278574753,-0.10061550278574753,-0.10061550278574753,False
e1a,E_v_3_8,public,-1,0.59979783371374151,0.59979783371374151,0.59979783371374151,0.00038009801323990455,0.00038009801323990455,0.00038009801323990455,1.0038232415027533,-0.30427581051000463,-0.30427581051000463,-0.30427581051000463,False
e1a,E_sum_3_8,public,-1,0.55492069893964624,0.55492069893964624,0.55492069893964624,-0.044497036760855369,-0.044497036760855369,-0.044497036760855369,0.55242355453654879,-0.23307499361497511,-0.23307499361497511,-0.23307499361497511,False
e1a,B_u_mean,public,-1,0.62283270812084079,0.62283270812084079,0.62283270812084079,0.023414972420339186,0.023414972420339186,0.023414972420339186,1.2355210793663354,-0.40705412938040791,-0.40705412938040791,-0.40705412938040791,False
e1a,B_v_mean,public,1,0.51949819198497815,0.51949819198497815,0.51949819198497815,-0.079919543715523456,-0.079919543715523456,-0.079919543715523456,0.1961238791810441,-0.0031857605323545239,-0.0031857605323545239,-0.0031857605323545239,False
e1a,B_sum,public,-1,0.59905548188515356,0.59905548188515356,0.59905548188515356,-0.0003622538153480459,-0.0003622538153480459,-0.0003622538153480459,0.99635624556528479,-0.35300227032770859,-0.35300227032770859,-0.35300227032770859,False
e1a,B_u_low_1_4,public,1,0.5,0.5,0.5,-0.099417735700501608,-0.099417735700501608,-0.099417735700501608,0,NA,NA,NA,True
e1a,B_v_low_1_4,public,1,0.5,0.5,0.5,-0.099417735700501608,-0.099417735700501608,-0.099417735700501608,0,NA,NA,NA,True
e1a,B_sum_low_1_4,public,1,0.5,0.5,0.5,-0.099417735700501608,-0.099417735700501608,-0.099417735700501608,0,NA,NA,NA,True
e1a,B_u_low_3_8,public,1,0.54882385843967552,0.54882385843967552,0.54882385843967552,-0.050593877260826092,-0.050593877260826092,-0.050593877260826092,0.49109807315224518,-0.30099185653603272,-0.30099185653603272,-0.30099185653603272,False
e1a,B_v_low_3_8,public,1,0.5,0.5,0.5,-0.099417735700501608,-0.099417735700501608,-0.099417735700501608,0,NA,NA,NA,True
e1a,B_sum_low_3_8,public,1,0.54882385843967552,0.54882385843967552,0.54882385843967552,-0.050593877260826092,-0.050593877260826092,-0.050593877260826092,0.49109807315224518,-0.30099185653603272,-0.30099185653603272,-0.30099185653603272,False
