key_id,su1_numerator,minimum_margin,Nz,Ez
0,22,3,56623104,0
0,22,4,49545216,0
0,22,5,281788416,0
0,22,6,65028096,0
0,23,4,35389440,0
0,23,5,93929472,0
0,23,6,21676032,0
0,24,2,169869312,0
0,24,3,1634992128,0
0,24,4,2701191168,0
0,24,5,1707556608,0
0,24,6,883153152,0
0,25,2,56623104,0
0,25,3,257949696,0
0,25,4,1423171584,0
0,25,5,391406592,0
0,25,6,236436480,0
0,26,2,4643094528,0
0,26,3,12538871808,0
0,26,4,19105990656,0
0,26,5,5417494272,0
0,26,6,3643363584,0
0,27,2,1547698176,0
0,27,3,2424045568,0
0,27,4,7927572480,0
0,27,5,2051170560,0
0,27,6,1159688448,0
0,27,7,6096384,0
0,28,2,25480396800,0
0,28,3,37528731648,0
0,28,4,65610768384,0
0,28,5,15346177920,0
0,28,6,6273894528,0
0,29,2,8493465600,0
0,29,3,8301182976,0
0,29,4,21013204992,0
0,29,5,10006505856,0
0,29,6,2265630336,0
0,30,2,46204452864,0
0,30,3,54497968128,0
0,30,4,127432617984,0
0,30,5,33414393024,0
0,30,6,7592097600,0
0,30,7,384445440,0
0,31,2,15401484288,0
0,31,3,12400459776,0
0,31,4,31821428736,0
0,31,5,26917848576,0
0,31,6,3300770304,0
0,32,2,21913141248,0
0,32,3,32885637120,0
0,32,4,160566644736,0
0,32,5,26285544576,0
0,32,6,4319796096,0
0,33,-1,205258752,205258752
0,33,1,49545216,0
0,33,2,7304380416,0
0,33,3,9068544000,0
0,33,4,48652973568,0
0,33,5,15390843264,0
0,33,6,1771694208,0
0,34,-1,615776256,615776256
0,34,1,764411904,0
0,34,2,3280601088,0
0,34,3,25618415616,0
0,34,4,59740913664,0
0,34,5,5828143104,0
0,34,6,637507584,0
0,35,-1,1137180672,1137180672
0,35,1,2198863872,0
0,35,2,2609086464,0
0,35,3,8889827328,0
0,35,4,21721890816,0
0,35,5,3060654336,0
0,35,6,245161728,0
0,36,-1,3857448960,3857448960
0,36,1,4466147328,0
0,36,2,3922919424,0
0,36,3,11422937088,0
0,36,4,15740227584,0
0,37,-1,3772514304,3772514304
0,37,1,11272716288,0
0,37,2,8321396736,0
0,37,3,12489203712,0
0,37,4,23107104768,0
0,37,5,2341011456,0
0,38,-1,9725018112,9725018112
0,38,1,10567286784,0
0,38,2,16546222080,0
0,38,3,23898857472,0
0,38,4,33331286016,0
0,38,5,4682022912,0
0,39,-1,12406751232,12406751232
0,39,1,21797273600,0
0,39,2,17373581312,0
0,39,3,41193897984,0
0,39,4,72408010752,0
0,39,5,8555839488,0
0,39,6,227598336,0
0,40,-1,12624592896,12624592896
0,40,1,14697627648,0
0,40,2,25760526336,0
0,40,3,39653425152,0
0,40,4,34457923584,0
0,40,5,26461790208,0
0,40,6,1365590016,0
0,41,-1,20573061120,20573061120
0,41,1,22308716544,0
0,41,2,25411289088,0
0,41,3,50922418176,0
0,41,4,123979548672,0
0,41,5,3064449024,0
0,41,6,2731180032,0
0,42,-1,4791730176,4791730176
0,42,1,8165523456,0
0,42,2,18378031104,0
0,42,3,24887033856,0
0,42,4,31546755072,0
0,42,5,6372753408,0
0,42,6,4608866304,0
0,43,-1,10192158720,10192158720
0,43,1,9555148800,0
0,43,2,18902679552,0
0,43,3,25324978176,0
0,43,4,75610275840,0
0,43,5,5389203456,0
0,43,6,7681443840,0
0,44,-1,509607936,509607936
0,44,1,1528823808,0
0,44,2,3581411328,0
0,44,3,7702069248,0
0,44,4,13857177600,0
0,45,-1,1528823808,1528823808
0,45,1,1528823808,0
0,45,2,4395368448,0
0,45,3,5650808832,0
0,45,4,28117794816,0
0,46,2,410517504,0
0,46,3,1162543104,0
0,46,4,1597833216,0
0,47,1,56623104,0
0,47,2,1844379648,0
0,47,3,1520861184,0
0,47,4,3523903488,0
0,48,-1,339738624,339738624
0,48,1,1358954496,0
0,48,2,3288268800,0
0,48,3,3112501248,0
0,48,4,991936512,0
0,48,5,269512704,0
0,48,6,774144,0
0,49,-1,2151677952,2151677952
0,49,1,4808245248,0
0,49,2,10939072512,0
0,49,3,7269728256,0
0,49,4,2409775104,0
0,49,5,1365387264,0
0,49,6,147806208,0
0,50,-1,4869586944,4869586944
0,50,1,12995002368,0
0,50,2,16754540544,0
0,50,3,17789337600,0
0,50,4,8076705792,0
0,50,5,2208245760,0
0,50,6,472799232,0
0,51,-1,8191475712,8191475712
0,51,1,17734041600,0
0,51,2,27604156416,0
0,51,3,33059569664,0
0,51,4,19947732992,0
0,51,5,1298227200,0
0,51,6,293953536,0
0,52,-1,12796821504,12796821504
0,52,1,31402229760,0
0,52,2,33925693440,0
0,52,3,65626877952,0
0,52,4,39525519360,0
0,52,5,1967468544,0
0,52,6,579833856,0
0,53,-1,5549064192,5549064192
0,53,1,12768509952,0
0,53,2,44741296128,0
0,53,3,61258604544,0
0,53,4,46268325888,0
0,53,5,5256216576,0
0,53,6,1124057088,0
0,54,-1,3737124864,3737124864
0,54,1,11112284160,0
0,54,2,53475213312,0
0,54,3,93605474304,0
0,54,4,63503069184,0
0,54,5,11189975040,0
0,54,6,2052089856,0
