key_id,x_numerator,coordinate_margin,Nz,Ez
0,0,3,30601641984,0
0,0,4,27380416512,0
0,0,5,142270791680,0
0,0,6,121869697024,0
0,0,7,190589173760,0
0,0,8,37044092928,0
0,2,-1,4831838208,4831838208
0,2,1,16106127360,0
0,2,2,51539607552,0
0,2,3,260382392320,0
0,2,4,555124523008,0
0,2,5,886373875712,0
0,2,6,1493574877184,0
0,2,7,1630476959744,0
0,2,8,599147937792,0
0,4,-1,1610612736,1610612736
0,4,1,68182605824,0
0,4,2,273267294208,0
0,4,3,408021893120,0
0,4,4,1500554199040,0
0,4,5,1089311080448,0
0,4,6,2547452477440,0
0,4,7,2053531238400,0
0,4,8,1129039527936,0
0,5,-3,1610612736,1610612736
0,5,-2,6442450944,6442450944
0,5,-1,28991029248,28991029248
0,5,1,101468602368,0
0,5,2,222801428480,0
0,5,3,420369924096,0
0,5,4,790273982464,0
0,5,5,1027034054656,0
0,5,6,1728724336640,0
0,5,7,2117418876928,0
0,5,8,701690281984,0
0,7,-3,536870912,536870912
0,7,-2,2147483648,2147483648
0,7,-1,48318382080,48318382080
0,7,1,61203283968,0
0,7,2,187904819200,0
0,7,3,240518168576,0
0,7,4,423054278656,0
0,7,5,1082331758592,0
0,7,6,1073204953088,0
0,7,7,1702417661952,0
0,7,8,401042571264,0
0,9,-1,14495514624,14495514624
0,9,1,4831838208,0
0,9,2,16106127360,0
0,9,3,27380416512,0
0,9,4,137438953472,0
0,9,5,216358977536,0
0,9,6,191662915584,0
0,9,7,447750340608,0
0,9,8,43486543872,0
0,11,-1,43486543872,43486543872
0,11,1,14495514624,0
0,11,2,36507222016,0
0,11,3,82141249536,0
0,11,4,417148698624,0
0,11,5,491773755392,0
0,11,6,864362168320,0
0,11,7,1047972020224,0
0,11,8,300647710720,0
0,13,1,1610612736,0
0,13,2,24159191040,0
0,13,3,49928994816,0
0,13,4,223875170304,0
0,13,5,358629769216,0
0,13,6,747324309504,0
0,13,7,802622013440,0
0,13,8,265751101440,0
0,14,1,4831838208,0
0,14,2,33822867456,0
0,14,3,86973087744,0
0,14,4,144955146240,0
0,14,5,220653944832,0
0,14,6,193273528320,0
0,14,7,111132278784,0
0,14,8,28991029248,0
1,0,2,2147483648,0
1,0,3,6442450944,0
1,0,4,126701535232,0
1,0,5,388694540288,0
1,0,6,373662154752,0
1,0,7,356482285568,0
1,0,8,120259084288,0
1,2,-1,12884901888,12884901888
1,2,1,40802189312,0
1,2,2,96636764160,0
1,2,3,298500227072,0
1,2,4,330712481792,0
1,2,5,515396075520,0
1,2,6,599147937792,0
1,2,7,1005022347264,0
1,2,8,399431958528,0
1,4,-2,6442450944,6442450944
1,4,1,79456894976,0
1,4,2,302795194368,0
1,4,3,657129996288,0
1,4,4,663572447232,0
1,4,5,947040288768,0
1,4,6,1380831985664,0
1,4,7,1698659565568,0
1,4,8,311385128960,0
1,5,1,8589934592,0
1,5,2,328564998144,0
1,5,3,317827579904,0
1,5,4,597000454144,0
1,5,5,977105059840,0
1,5,6,1007169830912,0
1,5,7,1516123455488,0
1,5,8,470298918912,0
1,7,2,154618822656,0
1,7,3,399431958528,0
1,7,4,240518168576,0
1,7,5,388694540288,0
1,7,6,339302416384,0
1,7,7,311385128960,0
1,7,8,90194313216,0
1,9,2,115964116992,0
1,9,4,173946175488,0
1,9,5,418759311360,0
1,9,6,569083166720,0
1,9,7,678604832768,0
1,9,8,242665652224,0
1,11,-1,6442450944,6442450944
1,11,2,143881404416,0
1,11,3,483183820800,0
1,11,4,1264867868672,0
1,11,5,959925190656,0
1,11,6,1627792605184,0
1,11,7,1161788653568,0
1,11,8,674309865472,0
1,13,-1,19327352832,19327352832
1,13,1,8589934592,0
1,13,2,73014444032,0
1,13,3,588410519552,0
1,13,4,597000454144,0
1,13,5,1041529569280,0
1,13,6,1595580350464,0
1,13,7,1260572901376,0
1,13,8,588410519552,0
1,14,2,122406567936,0
1,14,3,161061273600,0
1,14,4,277025390592,0
1,14,5,244813135872,0
1,14,6,584115552256,0
1,14,7,1213328261120,0
1,14,8,420906795008,0
2,0,-1,1207959552,1207959552
2,0,1,4026531840,0
2,0,2,19327352832,0
2,0,3,62008590336,0
2,0,4,73953968128,0
2,0,5,211258703872,0
2,0,6,141465485312,0
2,0,7,263872053248,0
2,0,8,47513075712,0
2,2,-2,1207959552,1207959552
2,2,-1,11676942336,11676942336
2,2,1,58384711680,0
2,2,2,98918465536,0
2,2,3,289104986112,0
2,2,4,392049983488,0
2,2,5,693503000576,0
2,2,6,807856504832,0
2,2,7,1000190509056,0
2,2,8,220519727104,0
2,4,-3,1207959552,1207959552
2,4,-2,15703474176,15703474176
2,4,-1,33420214272,33420214272
2,4,1,117977382912,0
2,4,2,217969590272,0
2,4,3,343463165952,0
2,4,4,617938419712,0
2,4,5,663572447232,0
2,4,6,1303791009792,0
2,4,7,869730877440,0
2,4,8,488149876736,0
2,5,-3,1207959552,1207959552
2,5,-2,402653184,402653184
2,5,-1,12482248704,12482248704
2,5,1,33151778816,0
2,5,2,179583320064,0
2,5,3,363998478336,0
2,5,4,781818265600,0
2,5,5,1510888964096,0
2,5,6,1652891320320,0
2,5,7,2033801232384,0
2,5,8,576599359488,0
2,7,-2,402653184,402653184
2,7,-1,11274289152,11274289152
2,7,1,37849399296,0
2,7,2,85765128192,0
2,7,3,241994563584,0
2,7,4,428825640960,0
2,7,5,688536944640,0
2,7,6,1038979432448,0
2,7,7,1313723121664,0
2,7,8,275817431040,0
2,9,-3,805306368,805306368
2,9,-2,2415919104,2415919104
2,9,-1,5100273664,5100273664
2,9,1,17716740096,0
2,9,2,45634027520,0
2,9,3,134351945728,0
2,9,4,219311767552,0
2,9,5,364132696064,0
2,9,6,525999276032,0
2,9,7,524522881024,0
2,9,8,84154515456,0
2,11,-4,7247757312,7247757312
2,11,-3,23085449216,23085449216
2,11,-2,24561844224,24561844224
2,11,-1,74893492224,74893492224
2,11,1,89523224576,0
2,11,2,190991826944,0
2,11,3,214614147072,0
2,11,4,495666069504,0
2,11,5,578612625408,0
2,11,6,902882656256,0
2,11,7,1209033293824,0
2,11,8,312056217600,0
2,13,-5,402653184,402653184
2,13,-4,1207959552,1207959552
2,13,-3,10871635968,10871635968
2,13,-2,15703474176,15703474176
2,13,-1,59995324416,59995324416
2,13,1,131264937984,0
2,13,2,292460429312,0
2,13,3,651627069440,0
2,13,4,814567391232,0
2,13,5,1028913102848,0
2,13,6,1371034091520,0
2,13,7,1201382883328,0
2,13,8,467882999808,0
2,14,-2,7650410496,7650410496
2,14,-1,48721035264,48721035264
2,14,1,67914170368,0
2,14,2,228707008512,0
2,14,3,217701154816,0
2,14,4,384936443904,0
2,14,5,386278621184,0
2,14,6,610288009216,0
2,14,7,615790936064,0
2,14,8,180791279616,0
3,0,1,8589934592,0
3,0,2,25769803776,0
3,0,3,25769803776,0
3,0,4,141733920768,0
3,0,5,51539607552,0
3,0,6,249108103168,0
3,0,7,180388626432,0
3,0,8,141733920768,0
3,2,1,21474836480,0
3,2,2,109521666048,0
3,2,3,36507222016,0
3,2,4,564788199424,0
3,2,5,188978561024,0
3,2,6,1213328261120,0
3,2,7,435939180544,0
3,2,8,453119049728,0
3,4,-1,77309411328,77309411328
3,4,1,38654705664,0
3,4,2,249108103168,0
3,4,3,57982058496,0
3,4,4,627065225216,0
3,4,5,801011400704,0
3,4,6,1629940088832,0
3,4,7,1166083620864,0
3,4,8,575525617664,0
3,5,-1,231928233984,231928233984
3,5,2,274877906944,0
3,5,3,167503724544,0
3,5,4,985694994432,0
3,5,5,620622774272,0
3,5,6,1730871820288,0
3,5,7,970662608896,0
3,5,8,515396075520,0
3,7,-1,25769803776,25769803776
3,7,1,2147483648,0
3,7,2,221190815744,0
3,7,3,375809638400,0
3,7,4,1733019303936,0
3,7,5,644245094400,0
3,7,6,1928440315904,0
3,7,7,807453851648,0
3,7,8,584115552256,0
3,9,-1,30064771072,30064771072
3,9,1,4294967296,0
3,9,2,214748364800,0
3,9,3,384399572992,0
3,9,4,732291923968,0
3,9,5,274877906944,0
3,9,6,1125281431552,0
3,9,7,706522120192,0
3,9,8,375809638400,0
3,11,-1,12884901888,12884901888
3,11,1,2147483648,0
3,11,2,221190815744,0
3,11,3,455266533376,0
3,11,4,1075889307648,0
3,11,5,448824082432,0
3,11,6,1793148846080,0
3,11,7,968515125248,0
3,11,8,519691042816,0
3,13,-1,45097156608,45097156608
3,13,2,266287972352,0
3,13,3,111669149696,0
3,13,4,723701989376,0
3,13,5,268435456000,0
3,13,6,1305670057984,0
3,13,7,588410519552,0
3,13,8,539018395648,0
3,14,-1,15032385536,15032385536
3,14,2,75161927680,0
3,14,4,158913789952,0
3,14,6,371514671104,0
3,14,7,231928233984,0
3,14,8,246960619520,0
4,0,-2,402653184,402653184
4,0,-1,1207959552,1207959552
4,0,1,11005853696,0
4,0,2,39057358848,0
4,0,3,70464307200,0
4,0,4,187502166016,0
4,0,5,231659798528,0
4,0,6,514456551424,0
4,0,7,388962975744,0
4,0,8,204547817472,0
4,2,-3,3623878656,3623878656
4,2,-2,13690208256,13690208256
4,2,-1,49928994816,49928994816
4,2,1,106032005120,0
4,2,2,267495931904,0
4,2,3,496471375872,0
4,2,4,764906831872,0
4,2,5,1049985286144,0
4,2,6,1333050474496,0
4,2,7,1220710236160,0
4,2,8,466540822528,0
4,4,-2,18119393280,18119393280
4,4,-1,46305116160,46305116160
4,4,1,153813516288,0
4,4,2,304003153920,0
4,4,3,502242738176,0
4,4,4,867717611520,0
4,4,5,780341870592,0
4,4,6,1241245548544,0
4,4,7,915901775872,0
4,4,8,392989507584,0
4,5,-3,402653184,402653184
4,5,-2,1744830464,1744830464
4,5,-1,11005853696,11005853696
4,5,1,22817013760,0
4,5,2,124151398400,0
4,5,3,264811577344,0
4,5,4,668672720896,0
4,5,5,923820621824,0
