feature_id,feature_value,Nz,Ez
secret_key,"A=0.22.3.26|t=1.1.0.0|e=28.0.0.1",268435456,196608
secret_key,"A=0.27.6.15|t=28.1.0.0|e=0.0.28.1",268435456,1764864
secret_key,"A=0.3.24.11|t=0.28.0.0|e=0.1.28.28",268435456,1277952
secret_key,"A=1.13.15.9|t=0.0.0.0|e=1.0.28.0",268435456,0
secret_key,"A=1.20.24.4|t=0.0.0.0|e=0.0.1.0",268435456,0
secret_key,"A=1.20.28.11|t=1.0.1.28|e=0.1.0.0",268435456,2973568
secret_key,"A=1.22.4.11|t=0.28.28.1|e=0.28.0.0",268435456,428032
secret_key,"A=1.28.19.25|t=1.1.1.28|e=28.1.0.0",268435456,4211712
secret_key,"A=1.5.13.9|t=28.28.0.0|e=0.1.0.1",268435456,196608
secret_key,"A=1.6.20.4|t=28.0.0.1|e=0.28.1.1",268435456,1048576
secret_key,"A=10.17.8.22|t=28.0.1.1|e=1.0.28.0",268435456,1424896
secret_key,"A=10.19.28.0|t=0.0.0.0|e=0.28.28.0",268435456,0
secret_key,"A=10.22.27.5|t=0.28.1.0|e=0.0.1.28",268435456,131072
secret_key,"A=10.3.0.7|t=28.0.1.28|e=28.0.1.0",268435456,1269760
secret_key,"A=11.17.26.18|t=0.1.28.28|e=1.28.0.0",268435456,3267232
secret_key,"A=11.25.0.11|t=0.0.1.0|e=0.28.0.1",268435456,0
secret_key,"A=11.25.15.6|t=0.1.1.0|e=0.0.1.0",268435456,0
secret_key,"A=11.28.23.25|t=0.28.0.1|e=0.28.1.1",268435456,2031616
secret_key,"A=12.1.13.1|t=0.0.1.1|e=0.28.0.1",268435456,458752
secret_key,"A=12.14.21.11|t=0.0.28.0|e=1.1.0.0",268435456,0
secret_key,"A=12.20.26.7|t=0.0.1.28|e=0.28.0.1",268435456,1867776
secret_key,"A=12.23.5.24|t=28.28.1.28|e=0.1.1.28",268435456,5883032
secret_key,"A=12.6.15.11|t=0.0.0.0|e=1.1.1.0",268435456,0
secret_key,"A=12.6.19.10|t=1.0.1.1|e=1.0.0.1",268435456,1261568
secret_key,"A=12.9.18.8|t=28.0.28.0|e=28.1.0.28",268435456,2062464
secret_key,"A=13.0.11.27|t=0.0.28.0|e=0.1.1.28",268435456,0
secret_key,"A=13.22.3.12|t=28.1.1.1|e=0.28.1.0",268435456,5143808
