feature_id,feature_value,Nz,Ez
hist_v,"0.0.2.0.0.0.0.2.",61381376,263615
hist_v,"0.0.2.0.0.0.1.1.",120689664,726028
hist_v,"0.0.2.0.0.0.2.0.",78258944,334704
hist_v,"0.0.2.0.0.1.0.1.",94176768,424319
hist_v,"0.0.2.0.0.1.1.0.",88553984,492406
hist_v,"0.0.2.0.0.2.0.0.",34682368,138911
hist_v,"0.0.2.0.1.0.0.1.",128764160,593012
hist_v,"0.0.2.0.1.0.1.0.",121419264,892489
hist_v,"0.0.2.0.1.1.0.0.",97518848,470922
hist_v,"0.0.2.0.2.0.0.0.",53706752,362753
hist_v,"0.0.2.1.0.0.0.1.",91558912,350289
hist_v,"0.0.2.1.0.0.1.0.",91559936,514071
hist_v,"0.0.2.1.0.1.0.0.",69504000,274284
hist_v,"0.0.2.1.1.0.0.0.",99026176,478502
hist_v,"0.0.2.2.0.0.0.0.",33658880,110960
hist_v,"0.0.3.0.0.0.0.1.",39449600,210378
hist_v,"0.0.3.0.0.0.1.0.",52969472,196246
hist_v,"0.0.3.0.0.1.0.0.",28898304,141650
hist_v,"0.0.3.0.1.0.0.0.",39336960,278686
hist_v,"0.0.3.1.0.0.0.0.",29958144,148202
hist_v,"0.0.4.0.0.0.0.0.",13445120,38952
hist_v,"0.1.0.0.0.0.0.3.",44071168,400159
hist_v,"0.1.0.0.0.0.1.2.",122975232,1094644
hist_v,"0.1.0.0.0.0.2.1.",128711168,860725
hist_v,"0.1.0.0.0.0.3.0.",41756416,341413
hist_v,"0.1.0.0.0.1.0.2.",98216960,763145
hist_v,"0.1.0.0.0.1.1.1.",179283712,1470143
hist_v,"0.1.0.0.0.1.2.0.",94671360,676076
hist_v,"0.1.0.0.0.2.0.1.",71965952,513276
hist_v,"0.1.0.0.0.2.1.0.",68957696,617079
hist_v,"0.1.0.0.0.3.0.0.",15956480,131548
hist_v,"0.1.0.0.1.0.0.2.",144078336,861961
hist_v,"0.1.0.0.1.0.1.1.",264399104,2187608
hist_v,"0.1.0.0.1.0.2.0.",129977344,912955
hist_v,"0.1.0.0.1.1.0.1.",216838144,1200105
hist_v,"0.1.0.0.1.1.1.0.",204177152,1967663
hist_v,"0.1.0.0.1.2.0.0.",88570368,408083
hist_v,"0.1.0.0.2.0.0.1.",140499200,855858
hist_v,"0.1.0.0.2.0.1.0.",128653056,1155579
hist_v,"0.1.0.0.2.1.0.0.",121900032,564691
hist_v,"0.1.0.0.3.0.0.0.",91763200,241673
hist_v,"0.1.0.1.0.0.0.2.",96702976,862738
hist_v,"0.1.0.1.0.0.1.1.",183488256,1513984
hist_v,"0.1.0.1.0.0.2.0.",95575552,598638
hist_v,"0.1.0.1.0.1.0.1.",143285504,1034782
hist_v,"0.1.0.1.0.1.1.0.",132612096,1006380
hist_v,"0.1.0.1.0.2.0.0.",52933888,321711
hist_v,"0.1.0.1.1.0.0.1.",211995136,1187030
hist_v,"0.1.0.1.1.0.1.0.",199124992,1603047
hist_v,"0.1.0.1.1.1.0.0.",155707648,718164
hist_v,"0.1.0.1.2.0.0.0.",90783744,554614
hist_v,"0.1.0.2.0.0.0.1.",70973184,617627
hist_v,"0.1.0.2.0.0.1.0.",68616960,509993
hist_v,"0.1.0.2.0.1.0.0.",52686592,353299
hist_v,"0.1.0.2.1.0.0.0.",78966784,404123
hist_v,"0.1.0.3.0.0.0.0.",17388032,147966
hist_v,"0.1.1.0.0.0.0.2.",124404480,943768
hist_v,"0.1.1.0.0.0.1.1.",255449344,1521330
hist_v,"0.1.1.0.0.0.2.0.",123288320,870206
hist_v,"0.1.1.0.0.1.0.1.",181801472,1303454
hist_v,"0.1.1.0.0.1.1.0.",186431744,1105904
hist_v,"0.1.1.0.0.2.0.0.",68975104,562615
hist_v,"0.1.1.0.1.0.0.1.",268181248,1987581
hist_v,"0.1.1.0.1.0.1.0.",259348992,1622161
hist_v,"0.1.1.0.1.1.0.0.",209317632,1745977
hist_v,"0.1.1.0.2.0.0.0.",131213568,995558
hist_v,"0.1.1.1.0.0.0.1.",185138944,1290468
hist_v,"0.1.1.1.0.0.1.0.",189706240,1035536
hist_v,"0.1.1.1.0.1.0.0.",133927680,859520
hist_v,"0.1.1.1.1.0.0.0.",202651136,1449939
hist_v,"0.1.1.2.0.0.0.0.",68995584,426868
hist_v,"0.1.2.0.0.0.0.1.",126094592,660999
hist_v,"0.1.2.0.0.0.1.0.",121388032,749841
hist_v,"0.1.2.0.0.1.0.0.",91674368,448109
hist_v,"0.1.2.0.1.0.0.0.",128055296,700668
hist_v,"0.1.2.1.0.0.0.0.",93888256,439383
hist_v,"0.1.3.0.0.0.0.0.",39617536,218594
hist_v,"0.2.0.0.0.0.0.2.",66493440,630467
hist_v,"0.2.0.0.0.0.1.1.",122152960,1113621
hist_v,"0.2.0.0.0.0.2.0.",63068672,505509
hist_v,"0.2.0.0.0.1.0.1.",96890112,806802
hist_v,"0.2.0.0.0.1.1.0.",93254912,925764
hist_v,"0.2.0.0.0.2.0.0.",33954816,296329
