feature_id,feature_value,Nz,Ez
entropy_1024,"0.0",238676048,1857184
entropy_1024,"0.1024",287709104,8365440
entropy_1024,"1024.0",294670256,13039168
entropy_1024,"1024.1024",693088336,36896544
