dataset,quantile,quantile_probability,score_min,score_max,margin,conditional_cdf,mean_margin,failure_probability
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,-5,9.0785849609511412e-06,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,-4,2.9397322730698936e-05,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,-3,0.00060310444914699534,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,-2,0.00075719721710028212,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,-1,0.014909008936542933,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,1,0.02321783256727819,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,2,0.056727430050110814,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,3,0.079386605407113342,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,4,0.99912099843467361,3.8103303380937992,0.014909008936542933
e0,1,0.24426056356991038,-0.79466585779395049,-0.52694387817330068,5,1,3.8103303380937992,0.014909008936542933
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,-5,1.5959777342170746e-05,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,-4,0.00016728783562774133,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,-3,0.0021073861926826625,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,-2,0.0032543261237132381,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,-1,0.042063674178788306,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,1,0.066666308569967622,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,2,0.18611743598332361,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,3,0.28333659355903573,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,4,0.54771814986841494,3.8264892037323155,0.042063674178788306
e0,2,0.17078725689422714,-0.51027394914110902,-0.25922189855265093,5,1,3.8264892037323155,0.042063674178788306
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,-5,1.8770025496552903e-06,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,-4,0.00010973245674907851,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,-3,0.002752876912489629,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,-2,0.0063356055291441645,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,-1,0.073397730162474417,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,1,0.12076915954864587,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,2,0.38583924303374867,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,3,0.54662281218658348,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,4,0.91218371379031971,2.8785895192148208,0.073397730162474417
e0,3,0.18283979290496932,-0.25916823155179758,-0.059735607161694793,5,1,2.8785895192148208,0.073397730162474417
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,-5,4.6957690591676165e-06,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,-4,0.00027070116562215567,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,-3,0.0039126668965609379,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,-2,0.0059624031596837938,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,-1,0.11460487352045245,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,1,0.16460102431257578,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,2,0.42787520286053021,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,3,0.63234548902598775,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,4,0.85987044703853721,2.6759476227305381,0.11460487352045245
e0,4,0.19957854591026439,-0.047040172004896408,0.21190222670281367,5,1,2.6759476227305381,0.11460487352045245
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,-5,8.374671188250486e-06,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,-4,0.00024077994322950524,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,-3,0.004216565477611082,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,-2,0.0059825457514478403,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,-1,0.16914450485359445,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,1,0.22800729880292384,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,2,0.52376135354498854,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,3,0.7662604831657378,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,4,0.94968693067714394,2.1835466582585403,0.16914450485359445
e0,5,0.20253384072062877,0.21376799186532983,0.94046434003944224,5,1,2.1835466582585403,0.16914450485359445
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,-5,8.6471940503846053e-07,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,-4,1.599730899321152e-05,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,-3,0.0002621396876374093,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,-2,0.0004899067789245398,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,-1,0.010025967523733305,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,1,0.036910245152274923,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,2,0.063727550262896324,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,3,0.12418388863451726,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,4,0.13128267288226975,4.6230747995256145,0.010025967523733305
e1a,1,0.24440363833778783,-0.79466585779395049,-0.52694387817330068,5,1,4.6230747995256145,0.010025967523733305
e1a,2,0.14256746815182164,-0.51027394914110902,-0.2758381605839893,-5,2.2235847855658218e-06,3.2248578249153046,0.055864306479655776
e1a,2,0.14256746815182164,-0.51027394914110902,-0.2758381605839893,-4,5.9295594281755243e-05,3.2248578249153046,0.055864306479655776
