dataset,evaluation_mode,target_s,joint_gain_bits,marginal_gain_bits,delta_gain_bits,delta_ci_low,delta_ci_high,joint_auc,marginal_auc,joint_auc_ci_low,joint_auc_ci_high,marginal_auc_ci_low,marginal_auc_ci_high
e0,recalibrated,2,0.96907666105935597,0.99648542391535111,-0.027408762855995139,-0.027408762855995139,-0.027408762855995139,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,recalibrated,4,0.96570467988837383,0.78661138757208648,0.17909329231628734,0.17909329231628734,0.17909329231628734,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,recalibrated,6,1.2669541369157968,0.45832923846860441,0.80862489844719243,0.80862489844719243,0.80862489844719243,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,recalibrated,8,1.4211514134829821,-0.97743711135921463,2.3985885248421965,2.3985885248421965,2.3985885248421965,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,recalibrated,10,1.4211514134829821,-0.97743711135921463,2.3985885248421965,2.3985885248421965,2.3985885248421965,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,frozen,2,0.96907666105935597,0.99648542391535111,-0.027408762855995139,-0.027408762855995139,-0.027408762855995139,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,frozen,4,0.96570467988837383,0.78661138757208648,0.17909329231628734,0.17909329231628734,0.17909329231628734,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,frozen,6,1.2669541369157968,0.45832923846860441,0.80862489844719243,0.80862489844719243,0.80862489844719243,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,frozen,8,1.4211514134829821,-0.97743711135921463,2.3985885248421965,2.3985885248421965,2.3985885248421965,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e0,frozen,10,1.4211514134829821,-0.97743711135921463,2.3985885248421965,2.3985885248421965,2.3985885248421965,0.71318500238622107,0.71221603354155616,0.71318500238622107,0.71318500238622107,0.71221603354155616,0.71221603354155616
e1a,recalibrated,2,0.44012372510251752,0.53533659697060765,-0.095212871868090132,-0.095212871868090132,-0.095212871868090132,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
e1a,recalibrated,4,0.05857770922923549,0.55206671587376865,-0.49348900664453316,-0.49348900664453316,-0.49348900664453316,0.61369730370218001,0.59941773570050161,0.61369730370218001,0.61369730370218001,0.59941773570050161,0.59941773570050161
