rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
13984,A=0.12|t=0.16|e=1.0,349,1088,1088,349,1.640379615040687,1.640379615040687
13985,A=0.12|t=0.16|e=16.0,2967,9248,9248,2967,1.6401364710204118,1.6401364710204118
13986,A=0.12|t=0.1|e=0.0,371,1156,1156,371,1.6396503058798757,1.6396503058798755
13987,A=0.12|t=0.1|e=0.1,5937,18496,18496,5937,1.6394072847320105,1.6394072847320105
13988,A=0.12|t=0.1|e=0.16,2969,9248,9248,2969,1.6391643045140234,1.6391643045140234
13989,A=0.12|t=0.1|e=1.0,5939,18496,18496,5939,1.6389213652121293,1.6389213652121293
13990,A=0.12|t=0.1|e=16.0,1485,4624,4624,1485,1.6386784668125505,1.6386784668125507
13991,A=0.12|t=1.0|e=0.0,2971,9248,9248,2971,1.6381927926652644,1.6381927926652644
13992,A=0.12|t=1.0|e=0.1,5943,18496,18496,5943,1.637950016890036,1.6379500168900363
13993,A=0.12|t=1.0|e=0.16,743,2312,2312,743,1.6377072819620826,1.6377072819620826
13994,A=0.12|t=1.0|e=1.0,5945,18496,18496,5945,1.6374645878676606,1.6374645878676608
13995,A=0.12|t=1.0|e=16.0,2973,9248,9248,2973,1.6372219345930346,1.6372219345930343
13996,A=0.12|t=1.16|e=0.0,5947,18496,18496,5947,1.6369793221244748,1.6369793221244748
13997,A=0.12|t=1.1|e=0.0,1487,4624,4624,1487,1.6367367504482602,1.6367367504482602
13998,A=0.12|t=16.0|e=0.0,175,544,544,175,1.6362517294180106,1.6362517294180106
13999,A=0.12|t=16.0|e=0.1,5951,18496,18496,5951,1.6360092800365662,1.6360092800365664
14000,A=0.12|t=16.0|e=0.16,93,289,289,93,1.6357668713926474,1.6357668713926474
14001,A=0.12|t=16.0|e=1.0,5953,18496,18496,5953,1.6355245034725665,1.6355245034725665
14002,A=0.12|t=16.0|e=16.0,2977,9248,9248,2977,1.6352821762626426,1.6352821762626428
14003,A=0.12|t=16.16|e=0.0,5955,18496,18496,5955,1.6350398897492024,1.6350398897492027
14004,A=0.12|t=16.1|e=0.0,1489,4624,4624,1489,1.634797643918579,1.634797643918579
14005,A=0.13|t=0.0|e=0.0,745,2312,2312,745,1.6338290671511548,1.633829067151155
14006,A=0.13|t=0.0|e=0.1,2981,9248,9248,2981,1.63334502250951,1.63334502250951
14007,A=0.13|t=0.0|e=0.16,1491,4624,4624,1491,1.6328611402172364,1.6328611402172364
14008,A=0.13|t=0.0|e=1.0,2983,9248,9248,2983,1.6323774201654664,1.6323774201654662
14009,A=0.13|t=0.0|e=1.1,351,1088,1088,351,1.6321356209457787,1.6321356209457787
14010,A=0.13|t=0.0|e=1.16,373,1156,1156,373,1.631893862245441,1.6318938622454409
14011,A=0.13|t=0.0|e=16.0,2985,9248,9248,2985,1.6314104663485114,1.6314104663485116
14012,A=0.13|t=0.0|e=16.1,5971,18496,18496,5971,1.6311688291247846,1.6311688291247846
14013,A=0.13|t=0.0|e=16.16,1493,4624,4624,1493,1.6309272323661375,1.6309272323661375
14014,A=0.13|t=0.16|e=0.0,2987,9248,9248,2987,1.6304441601898882,1.6304441601898882
14015,A=0.13|t=0.16|e=0.1,5975,18496,18496,5975,1.6302026847452056,1.6302026847452056
14016,A=0.13|t=0.16|e=0.16,747,2312,2312,747,1.6299612497114417,1.6299612497114415
14017,A=0.13|t=0.16|e=1.0,5977,18496,18496,5977,1.6297198550750733,1.6297198550750736
14018,A=0.13|t=0.16|e=16.0,2989,9248,9248,2989,1.6294785008225843,1.6294785008225843
14019,A=0.13|t=0.1|e=0.0,1495,4624,4624,1495,1.6289959134152112,1.6289959134152114
14020,A=0.13|t=0.1|e=0.1,5981,18496,18496,5981,1.6287546802333286,1.6287546802333286
14021,A=0.13|t=0.1|e=0.16,2991,9248,9248,2991,1.6285134873813267,1.6285134873813267
14022,A=0.13|t=0.1|e=1.0,5983,18496,18496,5983,1.6282723348457233,1.628272334845723
14023,A=0.13|t=0.1|e=16.0,11,34,34,11,1.628031222613042,1.628031222613042
14024,A=0.13|t=1.0|e=0.0,2993,9248,9248,2993,1.627549119002578,1.627549119002578
14025,A=0.13|t=1.0|e=0.1,5987,18496,18496,5987,1.6273081275978767,1.6273081275978767
14026,A=0.13|t=1.0|e=0.16,1497,4624,4624,1497,1.6270671764422622,1.6270671764422622
14027,A=0.13|t=1.0|e=1.0,5989,18496,18496,5989,1.626826265522292,1.6268262655222918
14028,A=0.13|t=1.0|e=16.0,2995,9248,9248,2995,1.626585394824531,1.6265853948245308
14029,A=0.13|t=1.16|e=0.0,5991,18496,18496,5991,1.62634456433555,1.62634456433555
14030,A=0.13|t=1.1|e=0.0,749,2312,2312,749,1.6261037740419277,1.6261037740419277
14031,A=0.13|t=16.0|e=0.0,2997,9248,9248,2997,1.6256223139871042,1.6256223139871044
14032,A=0.13|t=16.0|e=0.1,5995,18496,18496,5995,1.625381644199093,1.625381644199093
14033,A=0.13|t=16.0|e=0.16,1499,4624,4624,1499,1.6251410145528193,1.6251410145528193
14034,A=0.13|t=16.0|e=1.0,5997,18496,18496,5997,1.6249004250348948,1.6249004250348948
14035,A=0.13|t=16.0|e=16.0,2999,9248,9248,2999,1.6246598756319386,1.6246598756319386
14036,A=0.13|t=16.16|e=0.0,5999,18496,18496,5999,1.6244193663305748,1.6244193663305748
14037,A=0.13|t=16.1|e=0.0,375,1156,1156,375,1.6241788971174358,1.6241788971174358
14038,A=0.14|t=0.0|e=0.0,1501,4624,4624,1501,1.6232174208799903,1.6232174208799903
14039,A=0.14|t=0.0|e=0.1,3003,9248,9248,3003,1.6227369229435291,1.6227369229435291
14040,A=0.14|t=0.0|e=0.16,751,2312,2312,751,1.622256584986407,1.622256584986407
14041,A=0.14|t=0.0|e=1.0,3005,9248,9248,3005,1.6217764069021312,1.621776406902131
14042,A=0.14|t=0.0|e=1.1,6011,18496,18496,6011,1.6215363777790601,1.6215363777790603
14043,A=0.14|t=0.0|e=1.16,1503,4624,4624,1503,1.6212963885843141,1.6212963885843141
14044,A=0.14|t=0.0|e=16.0,3007,9248,9248,3007,1.620816529926676,1.620816529926676
14045,A=0.14|t=0.0|e=16.1,6015,18496,18496,6015,1.62057666043724,1.62057666043724
14046,A=0.14|t=0.0|e=16.16,94,289,289,94,1.6203368308230415,1.6203368308230415
14047,A=0.14|t=0.16|e=0.0,177,544,544,177,1.619857291167342,1.6198572911673421
14048,A=0.14|t=0.16|e=0.1,6019,18496,18496,6019,1.6196175810993503,1.6196175810993503
14049,A=0.14|t=0.16|e=0.16,1505,4624,4624,1505,1.6193779108536146,1.6193779108536144
14050,A=0.14|t=0.16|e=1.0,6021,18496,18496,6021,1.6191382804169054,1.6191382804169057
14051,A=0.14|t=0.16|e=16.0,3011,9248,9248,3011,1.6188986897760014,1.6188986897760012
14052,A=0.14|t=0.1|e=0.0,753,2312,2312,753,1.6184196278287506,1.6184196278287506
14053,A=0.14|t=0.1|e=0.1,6025,18496,18496,6025,1.6181801564959926,1.6181801564959926
14054,A=0.14|t=0.1|e=0.16,3013,9248,9248,3013,1.6179407249062157,1.6179407249062157
14055,A=0.14|t=0.1|e=1.0,6027,18496,18496,6027,1.6177013330462306,1.6177013330462306
14056,A=0.14|t=0.1|e=16.0,1507,4624,4624,1507,1.6174619809028548,1.6174619809028548
14057,A=0.14|t=1.0|e=0.0,3015,9248,9248,3015,1.6169833957132318,1.6169833957132316
14058,A=0.14|t=1.0|e=0.1,6031,18496,18496,6031,1.6167441626406513,1.6167441626406513
14059,A=0.14|t=1.0|e=0.16,377,1156,1156,377,1.6165049692320146,1.6165049692320146
14060,A=0.14|t=1.0|e=1.0,6033,18496,18496,6033,1.616265815474171,1.6162658154741707
14061,A=0.14|t=1.0|e=16.0,3017,9248,9248,3017,1.6160267013539764,1.6160267013539766
14062,A=0.14|t=1.16|e=0.0,355,1088,1088,355,1.615787626858295,1.615787626858295
14063,A=0.14|t=1.1|e=0.0,1509,4624,4624,1509,1.6155485919739956,1.6155485919739956
14064,A=0.14|t=16.0|e=0.0,3019,9248,9248,3019,1.6150706409870537,1.6150706409870537
14065,A=0.14|t=16.0|e=0.1,6039,18496,18496,6039,1.614831724858183,1.614831724858183
14066,A=0.14|t=16.0|e=0.16,755,2312,2312,755,1.6145928482882377,1.6145928482882377
14067,A=0.14|t=16.0|e=1.0,6041,18496,18496,6041,1.6143540112641197,1.6143540112641197
14068,A=0.14|t=16.0|e=16.0,3021,9248,9248,3021,1.614115213772738,1.614115213772738
14069,A=0.14|t=16.16|e=0.0,6043,18496,18496,6043,1.6138764558010075,1.6138764558010075
14070,A=0.14|t=16.1|e=0.0,1511,4624,4624,1511,1.6136377373358497,1.61363773733585
