feature_id,feature_value,Nz,Ez
margin,"-1",4365964636808,4365964636808
margin,"-2",1062601467832,1062601467832
margin,"-3",188021453296,188021453296
margin,"-4",23794641600,23794641600
margin,"-5",1799808768,1799808768
margin,"1",12988634704520,0
margin,"2",26544906523336,0
margin,"3",33918872359416,0
margin,"4",21127122472312,0
margin,"5",1018584139088,0
