rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
10286,-7.-15.9.-10,67349,73984,88496238504256,82178917836779,0.13555677828445917,0.1068478026731459
10287,-7.-6.-9.17,33687,36992,4917016315392,4567190150753,0.13502134815840464,0.10647628599816678
10288,7.15.-9.10,67399,73984,88516348849856,82239927590329,0.13448611667382085,0.10610494934355916
10289,7.6.9.-17,2107,2312,2766450125708,2570951014597,0.13395108368337266,0.10573379256621866
10290,-11.-16.-5.14,67441,73984,88533139812224,82291175783311,0.1335873745546141,0.10547985092020001
10291,-11.-21.5.-1,33729,36992,14756645933632,13718653183253,0.1332237570952564,0.10522599259255608
10292,-12.-18.-4.13,67475,73984,17709322278272,16466532483145,0.13286023125910246,0.1049722175383611
10293,-12.-22.4.1,16873,18496,22138336795232,20588351432983,0.13249679699999,0.10471852571272233
10294,-13.-20.-3.12,67509,73984,9840009218944,9152683227571,0.13213345427179188,0.10446491707078284
10295,-13.-23.3.3,33763,36992,44283409380032,41197446182173,0.13177020302841522,0.10421139156771977
10296,-14.-22.-2.11,67543,73984,88573554549632,82415635680553,0.13140704322380245,0.10395794915874446
10297,-14.-24.2.5,8445,9248,738169086160,686969824973,0.13104397481193072,0.10370458979910367
10298,-15.-24.-1.10,67577,73984,88587026128768,82457122312967,0.13068099774681177,0.10345131344407799
10299,-15.-25.1.7,33797,36992,44296880959168,41238932814587,0.13031811198249216,0.10319812004898207
10300,11.16.5.-14,67611,73984,29533499235968,27499536315127,0.12995531747305303,0.10294500956916544
10301,11.21.-5.1,16907,18496,22151808374368,20629838065397,0.1295926141726102,0.10269198196001224
10302,12.18.4.-13,67645,73984,17722793857408,16508019115559,0.12923000203531423,0.10243903717694039
10303,12.22.-4.-1,33831,36992,4923372504256,4586713271889,0.1288674810153498,0.10218617517540234
10304,13.20.3.-12,67679,73984,88627440866176,82581582210209,0.12850505106693655,0.10193339591088446
10305,13.23.-3.-3,4231,4624,5539636040984,5162645345401,0.12814271214432846,0.10168069933890755
10306,14.22.2.-11,67713,73984,29546970815104,27541022947541,0.127780464201814,0.10142808541502683
10307,14.24.-2.-5,33865,36992,8864764823488,8264381215883,0.12741830719371605,0.10117555409483146
10308,15.24.1.-10,67747,73984,88654384024448,82664555475037,0.1270562410743919,0.10092310533394434
10309,15.25.-1.-7,16941,18496,7388426651168,6890441565937,0.12669426579823312,0.10067073908802306
10310,-5.-5.-1.3,67781,73984,88667750567616,82706042107451,0.12633238131966568,0.1004167462947741
10311,-5.-6.1.0,33899,36992,44337190660608,41363392711829,0.12597058759315,0.10016283618551991
10312,-6.-5.-4.8,67815,73984,29560337358272,27582509579955,0.12560888457318017,0.09990900871596155
10313,-6.-9.4.-4,8479,9248,11085955353552,10346034007009,0.12524727221428514,0.09965526384183446
10314,5.5.1.-3,67849,73984,88694273582016,82789015372279,0.12488575047102773,0.09940160151890712
10315,5.6.-1.0,33933,36992,14783484055936,13801626448081,0.12452431929800502,0.0991480217029826
10316,6.5.4.-8,67883,73984,88707535089216,82830502004693,0.12416297864984811,0.09889452434989718
10317,6.9.-4.4,16975,18496,22178541460704,20712811330225,0.12380172848122228,0.09864110941552125
10318,-4.-12.12.-16,16981,18496,22180856584928,20720132500651,0.12329188218982026,0.09828185210355525
10319,-4.0.-12.20,16987,18496,22183171709152,20727453671077,0.12278221601369231,0.0979227591899766
10320,4.0.12.-20,16993,18496,22185486833376,20734774841503,0.12227272982562308,0.0975638305508509
10321,4.12.-12.16,16999,18496,22187801957600,20742096011929,0.12176342349853242,0.0972050660623773
10322,-6.-10.2.0,34011,36992,44380394362928,41500054559781,0.12121187779840484,0.09680925417904207
10323,-6.-8.-2.6,4253,4624,5548148101332,5189489636963,0.12066054287491522,0.09641363626324549
10324,6.10.-2.0,34037,36992,131720994832,123239702171,0.12010941856702556,0.09601821215757816
10325,6.8.2.-6,17025,18496,22197382853056,20773821083775,0.11955850471388298,0.09562298170481405
10326,-2.-10.10.-13,17031,18496,22199587237312,20781142254201,0.11905015550464552,0.09525789696747575
10327,-2.-2.-6.11,17037,18496,22201791621568,20788463424627,0.11854198535466125,0.09489297706415888
10328,-2.-8.6.-7,17043,18496,965391130688,904164547611,0.11803399413783208,0.09452822187159049
10329,-2.0.-10.17,17049,18496,22206200390080,20803105765479,0.11752618172819308,0.09416363126662931
10330,2.0.10.-17,17055,18496,22208404774336,20810426935905,0.11701854799991233,0.09379920512626629
10331,2.10.-10.13,17061,18496,22210609158592,20817748106331,0.11651109282729083,0.09343494332762439
10332,2.2.6.-11,17067,18496,22212813542848,20825069276757,0.11600381608476167,0.09307084574795854
10333,2.8.-6.7,17073,18496,22215017927104,20832390447183,0.11549671764689083,0.09270691226465458
10334,-1.-6.9.-13,2135,2312,555435130494,521023295317,0.11490532799282614,0.09227055063001124
10335,-1.3.-9.14,17087,18496,22219792512416,20849473178177,0.11431418066192088,0.09183441466143528
10336,1.-3.9.-14,8547,9248,11111089902536,10429007271837,0.11372327545567155,0.09139850416400175
10337,1.6.-9.13,17101,18496,22224567097728,20866555909171,0.11313261217581845,0.09096281894302903
10338,-10.-12.-6.14,34213,36992,44452745284064,41746533964123,0.11266868918856322,0.09061609706918887
10339,-10.-18.6.-4,2139,2312,2778522273292,2609997256869,0.11220491533563456,0.09026951480930868
10340,-11.-14.-5.13,34235,36992,8891993492256,8354675651137,0.11174129052118062,0.08992307206908354
10341,-11.-19.5.-2,17123,18496,22231789274944,20893400200733,0.1112778146494419,0.0895767687543003
10342,-12.-16.-4.12,34257,36992,44467189638496,41800222547247,0.11081448762475171,0.08923060477083798
10343,-12.-20.4.0,8567,9248,11117700181776,10453411173257,0.11035130935153498,0.0888845800246665
10344,-13.-18.-3.11,34279,36992,44474411815712,41827066838809,0.10988827973430863,0.0885386944218489
10345,-13.-21.3.2,17145,18496,4447802290432,4184048898459,0.10942539867768207,0.088192947868538
10346,-14.-20.-2.10,34301,36992,44481633992928,41853911130371,0.10896266608635591,0.08784734027097946
10347,-14.-22.2.4,4289,4624,5560655635192,5233416659519,0.10850008186512247,0.08750187153550965
10348,-15.-22.-1.9,2019,2176,44488856170144,41880755421933,0.10803764591886614,0.08715654156855603
10349,-15.-23.1.6,17167,18496,22246233629376,20947088783857,0.1075753581525622,0.08681135027663739
10350,10.12.6.-14,34345,36992,8899215669472,8381519942699,0.10711321847127726,0.08646629756636337
10351,10.18.-6.4,8589,9248,11124922358992,10480255464819,0.1066512267801697,0.08612138334443409
10352,11.14.5.-13,34367,36992,44503300524576,41934444005057,0.10618938298448835,0.08577660751764082
10353,11.19.-5.2,17189,18496,22253455806592,20973933075419,0.10572768698957313,0.08543196999286566
10354,12.16.4.-12,34389,36992,44510522701792,41961288296619,0.10526613870085527,0.08508747067708007
10355,12.20.-4.0,1075,1156,55642667238,52468388053,0.10480473802385622,0.0847431094773473
10356,13.18.3.-11,34411,36992,44517744879008,41988132588181,0.10434348486418821,0.08439888630081999
10357,13.21.-3.-2,17211,18496,22260677983808,21000777366981,0.10388237912755383,0.08405480105474078
10358,14.20.2.-10,34433,36992,44524967056224,42014976879743,0.10342142071974654,0.08371085364644293
10359,14.22.-2.-4,8611,9248,11132144536208,10507099756381,0.10296060954664961,0.08336704398334913
10360,15.22.1.-9,34455,36992,8906437846688,8408364234261,0.10249994551423641,0.08302337197297179
10361,15.23.-1.-6,17233,18496,22267900161024,21027621658543,0.1020394285285709,0.08267983752291373
10362,-2.-9.12.-17,34479,36992,44540005108960,42071105853009,0.10149537063448638,0.08227198328595216
10363,-2.3.-12.19,8623,9248,11136052473968,10521742097233,0.10095151783392804,0.08186432128485521
10364,2.-3.12.-19,34505,36992,44548414682784,42102830924855,0.10040786997232573,0.08145685136747953
10365,2.9.-12.17,17259,18496,22276309734848,21059346730389,0.09986442689528399,0.0810495733818566
10366,-3.-10.11.-15,69061,73984,89113157606464,84267891798331,0.09934207845301182,0.08065542968100461
10367,-3.1.-11.18,34543,36992,44560538136768,42149198337553,0.09881991906604078,0.08026146364358297
10368,-4.-1.-10.17,69111,73984,12732713562944,12046985935983,0.09829794859756955,0.07986767513481523
10369,-4.-10.8.-10,4321,4624,5571057100480,5272462901791,0.09777616691094507,0.0794740640200715
10370,-4.-11.10.-13,69161,73984,89144832274752,84389911305431,0.09725457386966303,0.07908063016487091
10371,-4.-2.-8.14,34593,36992,44576375470912,42210208091103,0.0967331693373666,0.07868737343487942
10372,3.-1.11.-18,69211,73984,89160669608896,84450921058981,0.0962119531778469,0.07829429369591019
10373,3.10.-11.15,17309,18496,1173270898368,1111597709681,0.09569092525504265,0.07790139081392347
10374,4.1.10.-17,69261,73984,89176506943040,84511930812531,0.09517008543303974,0.07750866465502636
10375,4.10.-8.10,34643,36992,6370316115008,6038745406379,0.09464943357607171,0.07711611508547304
10376,4.11.-10.13,69311,73984,89192344277184,84572940566081,0.09412896954851856,0.07672374197166328
10377,4.2.8.-14,8667,9248,11150032868032,10575430680357,0.09360869321490717,0.07633154518014329
10378,0.-4.8.-12,8671,9248,11151296049344,10580311460641,0.09294301317500171,0.07582929803908146
10379,0.-6.12.-18,8675,9248,11152559230656,10585192240925,0.0922776401476933,0.07532733939853599
10380,0.4.-8.12,8679,9248,11153822411968,10590073021209,0.09161257384992297,0.07482566897964102
10381,0.6.-12.18,8683,9248,11155085593280,10594953801493,0.0909478139990236,0.07432428650392173
10382,-1.-9.15.-22,4343,4624,5577978963548,5299307193353,0.0904494450467861,0.07393873268467738
10383,-1.6.-15.23,8689,9248,11156830260912,10602274971919,0.08995124819318301,0.07355334214289704
10384,1.-6.15.-23,2173,2312,2789425648682,2651483889283,0.08945322331939587,0.07316811476114125
10385,1.9.-15.22,8695,9248,11158574928544,10609596142345,0.08895537030672938,0.07278305042209357
10386,-3.-11.13.-18,4093,4352,89273947595328,84902393235251,0.08851988980725466,0.07243400057015988
10387,-3.2.-13.21,34801,36992,44639647881152,42464008665871,0.08808454071880881,0.07208507695157777
10388,-5.-13.11.-14,69623,73984,89284643929280,84953641428233,0.08764932296210665,0.0717362794876824
10389,-5.-2.-11.19,17411,18496,22322498024064,21244816381181,0.08721423645793422,0.07138760809987967
10390,3.-2.13.-21,69665,73984,89295340263232,85004889621215,0.08677928112714939,0.07103906270964815
10391,3.11.-13.18,34843,36992,44650344215104,42515256858853,0.08634445689068157,0.0706906432385368
10392,5.13.-11.14,69707,73984,8118730599744,7732376164927,0.08590976366953165,0.07034234960816649
10393,5.2.11.-19,2179,2312,2790980773880,2658805059709,0.0854752013847719,0.06999418174022935
10394,-1.-6.13.-20,4359,4624,5582202365680,5318830314489,0.08514419414668144,0.06972541415065862
10395,-1.-7.15.-23,8719,9248,11164645549280,10638880824049,0.08497871900273792,0.06959105782409301
10396,-1.7.-13.19,513,544,656772187360,625960071423,0.08464782564328541,0.06932240008577788
10397,-1.8.-15.22,4361,4624,5582684001520,5321270704631,0.08448240741907292,0.06918809866538239
10398,-10.-11.-4.10,2181,2312,2791462409720,2661245449851,0.08415162785992829,0.06891955070051398
10399,-10.-12.-2.7,4363,4624,5583165637360,5323711094773,0.08382092412417896,0.06865107587475575
10400,-10.-13.0.4,1091,1156,1395851613820,1331232822461,0.08349029617707164,0.06838267415358641
10401,-10.-14.2.1,4365,4624,1116729454640,1065230296983,0.0831597439838764,0.0681143455025076
10402,-10.-15.-4.12,2183,2312,2791944045560,2663685839993,0.08282926750988785,0.06784608988704519
10403,-10.-15.4.-2,4367,4624,507648082640,484417443187,0.08249886672042378,0.06757790727274877
10404,-10.-16.-2.9,273,289,349023107935,333113254383,0.0821685415808263,0.06730979762519171
10405,-10.-17.0.6,257,272,328506502640,313590133247,0.08183829205646134,0.0670417609099712
10406,-10.-18.2.3,2185,2312,558485136280,533225246027,0.08150811811271808,0.06677379709270771
10407,-10.-19.4.0,4371,4624,5585092180720,5333472655341,0.08117801971501012,0.06650590613904661
10408,-11.-13.-3.9,1093,1156,1396333249660,1333673212603,0.08084799682877418,0.06623808801465578
10409,-11.-14.-1.6,4373,4624,5585573816560,5335913045483,0.08051804941947113,0.06597034268522749
10410,-11.-15.1.3,2187,2312,2792907317240,2668566620277,0.08018817745258558,0.06570267011647696
10411,-11.-16.3.0,4375,4624,223442218096,213534137425,0.07985838089362529,0.06543507027414396
10412,-11.-17.-3.11,547,578,698287033790,667446703837,0.07952865970812233,0.06516754312399133
10413,-11.-18.-1.8,4377,4624,5586537088240,5340793825767,0.07919901386163174,0.06490008863180566
10414,-11.-19.1.5,2189,2312,253944450280,242818819129,0.07886944331973265,0.06463270676339673
