rank,feature_value,p_num,p_den,A_num,A_den,s_bits,g_bits
1,1024.1024,17396949,37879808,1266478235648,893768254875,1.1225947035093486,0.5028495759495327
2,1024.0,189,289,99002441,77679000,0.6126832582796061,0.349939468305406
3,0.1024,31901547,37879808,28527084535808,24584129656875,0.24780263206975298,0.214605030367358
4,0.0,1,1,1,1,-0.0,0.0
